:LABEL,id,ifc_type
IfcPlane,#77,IFCPLANE
IfcPlane,#88,IFCPLANE
IfcPlane,#226,IFCPLANE
IfcPlane,#239,IFCPLANE
IfcPlane,#249,IFCPLANE
IfcPlane,#367,IFCPLANE
IfcPlane,#381,IFCPLANE
IfcPlane,#389,IFCPLANE
IfcPlane,#401,IFCPLANE
IfcPlane,#538,IFCPLANE
IfcPlane,#548,IFCPLANE
IfcPlane,#556,IFCPLANE
IfcPlane,#564,IFCPLANE
IfcPlane,#590,IFCPLANE
IfcPlane,#829,IFCPLANE
IfcPlane,#841,IFCPLANE
IfcPlane,#852,IFCPLANE
IfcPlane,#862,IFCPLANE
IfcPlane,#888,IFCPLANE
IfcPlane,#899,IFCPLANE
IfcPlane,#1071,IFCPLANE
IfcPlane,#1080,IFCPLANE
IfcPlane,#1092,IFCPLANE
IfcPlane,#1104,IFCPLANE
IfcPlane,#1232,IFCPLANE
IfcPlane,#1246,IFCPLANE
IfcPlane,#1255,IFCPLANE
IfcPlane,#1269,IFCPLANE
IfcPlane,#1456,IFCPLANE
IfcPlane,#1465,IFCPLANE
IfcPlane,#1478,IFCPLANE
IfcPlane,#1492,IFCPLANE
IfcPlane,#1639,IFCPLANE
IfcPlane,#1648,IFCPLANE
IfcPlane,#1659,IFCPLANE
IfcPlane,#1798,IFCPLANE
IfcPlane,#1811,IFCPLANE
IfcPlane,#1821,IFCPLANE
IfcPlane,#1939,IFCPLANE
IfcPlane,#1950,IFCPLANE
IfcPlane,#1961,IFCPLANE
IfcPlane,#1975,IFCPLANE
IfcPlane,#1983,IFCPLANE
IfcPlane,#1995,IFCPLANE
IfcPlane,#2131,IFCPLANE
IfcPlane,#2141,IFCPLANE
IfcPlane,#2149,IFCPLANE
IfcPlane,#2157,IFCPLANE
IfcPlane,#2183,IFCPLANE
IfcPlane,#2422,IFCPLANE
IfcPlane,#2434,IFCPLANE
IfcPlane,#2445,IFCPLANE
IfcPlane,#2455,IFCPLANE
IfcPlane,#2481,IFCPLANE
IfcPlane,#2492,IFCPLANE
IfcPlane,#2649,IFCPLANE
IfcPlane,#2662,IFCPLANE
IfcPlane,#2670,IFCPLANE
IfcPlane,#2682,IFCPLANE
IfcPlane,#2803,IFCPLANE
IfcPlane,#2817,IFCPLANE
IfcPlane,#2826,IFCPLANE
IfcPlane,#2840,IFCPLANE
IfcPlane,#3027,IFCPLANE
IfcPlane,#3041,IFCPLANE
IfcPlane,#3049,IFCPLANE
IfcPlane,#3063,IFCPLANE
IfcPlane,#3207,IFCPLANE
IfcPlane,#3220,IFCPLANE
IfcPlane,#3229,IFCPLANE
IfcPlane,#3335,IFCPLANE
IfcPlane,#3348,IFCPLANE
IfcPlane,#3357,IFCPLANE
IfcPlane,#3466,IFCPLANE
IfcPlane,#3475,IFCPLANE
IfcPlane,#3484,IFCPLANE
IfcPlane,#3493,IFCPLANE
IfcPlane,#3596,IFCPLANE
IfcPlane,#3605,IFCPLANE
IfcPlane,#3614,IFCPLANE
IfcPlane,#3623,IFCPLANE
IfcPlane,#4269,IFCPLANE
IfcPlane,#4280,IFCPLANE
IfcPlane,#4381,IFCPLANE
IfcPlane,#4392,IFCPLANE
IfcPlane,#4447,IFCPLANE
IfcPlane,#4458,IFCPLANE
IfcPlane,#24589,IFCPLANE
