:LABEL,id,ifc_type
IfcPolyLine,#75,IFCPOLYLINE
IfcPolyLine,#86,IFCPOLYLINE
IfcPolyLine,#93,IFCPOLYLINE
IfcPolyLine,#100,IFCPOLYLINE
IfcPolyLine,#107,IFCPOLYLINE
IfcPolyLine,#115,IFCPOLYLINE
IfcPolyLine,#122,IFCPOLYLINE
IfcPolyLine,#130,IFCPOLYLINE
IfcPolyLine,#138,IFCPOLYLINE
IfcPolyLine,#146,IFCPOLYLINE
IfcPolyLine,#153,IFCPOLYLINE
IfcPolyLine,#224,IFCPOLYLINE
IfcPolyLine,#237,IFCPOLYLINE
IfcPolyLine,#247,IFCPOLYLINE
IfcPolyLine,#254,IFCPOLYLINE
IfcPolyLine,#261,IFCPOLYLINE
IfcPolyLine,#269,IFCPOLYLINE
IfcPolyLine,#277,IFCPOLYLINE
IfcPolyLine,#285,IFCPOLYLINE
IfcPolyLine,#292,IFCPOLYLINE
IfcPolyLine,#299,IFCPOLYLINE
IfcPolyLine,#365,IFCPOLYLINE
IfcPolyLine,#379,IFCPOLYLINE
IfcPolyLine,#387,IFCPOLYLINE
IfcPolyLine,#399,IFCPOLYLINE
IfcPolyLine,#406,IFCPOLYLINE
IfcPolyLine,#413,IFCPOLYLINE
IfcPolyLine,#420,IFCPOLYLINE
IfcPolyLine,#427,IFCPOLYLINE
IfcPolyLine,#434,IFCPOLYLINE
IfcPolyLine,#441,IFCPOLYLINE
IfcPolyLine,#505,IFCPOLYLINE
IfcPolyLine,#536,IFCPOLYLINE
IfcPolyLine,#546,IFCPOLYLINE
IfcPolyLine,#554,IFCPOLYLINE
IfcPolyLine,#562,IFCPOLYLINE
IfcPolyLine,#588,IFCPOLYLINE
IfcPolyLine,#595,IFCPOLYLINE
IfcPolyLine,#602,IFCPOLYLINE
IfcPolyLine,#609,IFCPOLYLINE
IfcPolyLine,#617,IFCPOLYLINE
IfcPolyLine,#625,IFCPOLYLINE
IfcPolyLine,#632,IFCPOLYLINE
IfcPolyLine,#639,IFCPOLYLINE
IfcPolyLine,#646,IFCPOLYLINE
IfcPolyLine,#653,IFCPOLYLINE
IfcPolyLine,#661,IFCPOLYLINE
IfcPolyLine,#669,IFCPOLYLINE
IfcPolyLine,#677,IFCPOLYLINE
IfcPolyLine,#684,IFCPOLYLINE
IfcPolyLine,#827,IFCPOLYLINE
IfcPolyLine,#839,IFCPOLYLINE
IfcPolyLine,#850,IFCPOLYLINE
IfcPolyLine,#860,IFCPOLYLINE
IfcPolyLine,#886,IFCPOLYLINE
IfcPolyLine,#897,IFCPOLYLINE
IfcPolyLine,#905,IFCPOLYLINE
IfcPolyLine,#910,IFCPOLYLINE
IfcPolyLine,#917,IFCPOLYLINE
IfcPolyLine,#924,IFCPOLYLINE
IfcPolyLine,#931,IFCPOLYLINE
IfcPolyLine,#938,IFCPOLYLINE
IfcPolyLine,#945,IFCPOLYLINE
IfcPolyLine,#952,IFCPOLYLINE
IfcPolyLine,#959,IFCPOLYLINE
IfcPolyLine,#966,IFCPOLYLINE
IfcPolyLine,#973,IFCPOLYLINE
IfcPolyLine,#980,IFCPOLYLINE
IfcPolyLine,#987,IFCPOLYLINE
IfcPolyLine,#994,IFCPOLYLINE
IfcPolyLine,#1002,IFCPOLYLINE
IfcPolyLine,#1069,IFCPOLYLINE
IfcPolyLine,#1078,IFCPOLYLINE
IfcPolyLine,#1090,IFCPOLYLINE
IfcPolyLine,#1102,IFCPOLYLINE
IfcPolyLine,#1109,IFCPOLYLINE
IfcPolyLine,#1116,IFCPOLYLINE
IfcPolyLine,#1123,IFCPOLYLINE
IfcPolyLine,#1130,IFCPOLYLINE
IfcPolyLine,#1137,IFCPOLYLINE
IfcPolyLine,#1144,IFCPOLYLINE
IfcPolyLine,#1151,IFCPOLYLINE
IfcPolyLine,#1209,IFCPOLYLINE
IfcPolyLine,#1230,IFCPOLYLINE
IfcPolyLine,#1244,IFCPOLYLINE
IfcPolyLine,#1253,IFCPOLYLINE
IfcPolyLine,#1267,IFCPOLYLINE
IfcPolyLine,#1274,IFCPOLYLINE
IfcPolyLine,#1281,IFCPOLYLINE
IfcPolyLine,#1288,IFCPOLYLINE
IfcPolyLine,#1295,IFCPOLYLINE
IfcPolyLine,#1303,IFCPOLYLINE
IfcPolyLine,#1311,IFCPOLYLINE
IfcPolyLine,#1318,IFCPOLYLINE
IfcPolyLine,#1326,IFCPOLYLINE
IfcPolyLine,#1334,IFCPOLYLINE
IfcPolyLine,#1341,IFCPOLYLINE
IfcPolyLine,#1348,IFCPOLYLINE
IfcPolyLine,#1355,IFCPOLYLINE
IfcPolyLine,#1362,IFCPOLYLINE
IfcPolyLine,#1369,IFCPOLYLINE
IfcPolyLine,#1376,IFCPOLYLINE
IfcPolyLine,#1433,IFCPOLYLINE
IfcPolyLine,#1454,IFCPOLYLINE
IfcPolyLine,#1463,IFCPOLYLINE
IfcPolyLine,#1476,IFCPOLYLINE
IfcPolyLine,#1490,IFCPOLYLINE
IfcPolyLine,#1497,IFCPOLYLINE
IfcPolyLine,#1504,IFCPOLYLINE
IfcPolyLine,#1511,IFCPOLYLINE
IfcPolyLine,#1518,IFCPOLYLINE
IfcPolyLine,#1525,IFCPOLYLINE
IfcPolyLine,#1532,IFCPOLYLINE
