:LABEL,id,ifc_type
IfcPolyLoop,#738,IFCPOLYLOOP
IfcPolyLoop,#745,IFCPOLYLOOP
IfcPolyLoop,#752,IFCPOLYLOOP
IfcPolyLoop,#757,IFCPOLYLOOP
IfcPolyLoop,#762,IFCPOLYLOOP
IfcPolyLoop,#769,IFCPOLYLOOP
IfcPolyLoop,#773,IFCPOLYLOOP
IfcPolyLoop,#780,IFCPOLYLOOP
IfcPolyLoop,#785,IFCPOLYLOOP
IfcPolyLoop,#788,IFCPOLYLOOP
IfcPolyLoop,#791,IFCPOLYLOOP
IfcPolyLoop,#794,IFCPOLYLOOP
IfcPolyLoop,#800,IFCPOLYLOOP
IfcPolyLoop,#803,IFCPOLYLOOP
IfcPolyLoop,#806,IFCPOLYLOOP
IfcPolyLoop,#809,IFCPOLYLOOP
IfcPolyLoop,#812,IFCPOLYLOOP
IfcPolyLoop,#2331,IFCPOLYLOOP
IfcPolyLoop,#2337,IFCPOLYLOOP
IfcPolyLoop,#2344,IFCPOLYLOOP
IfcPolyLoop,#2349,IFCPOLYLOOP
IfcPolyLoop,#2354,IFCPOLYLOOP
IfcPolyLoop,#2361,IFCPOLYLOOP
IfcPolyLoop,#2366,IFCPOLYLOOP
IfcPolyLoop,#2373,IFCPOLYLOOP
IfcPolyLoop,#2378,IFCPOLYLOOP
IfcPolyLoop,#2381,IFCPOLYLOOP
IfcPolyLoop,#2384,IFCPOLYLOOP
IfcPolyLoop,#2387,IFCPOLYLOOP
IfcPolyLoop,#2393,IFCPOLYLOOP
IfcPolyLoop,#2396,IFCPOLYLOOP
IfcPolyLoop,#2399,IFCPOLYLOOP
IfcPolyLoop,#2402,IFCPOLYLOOP
IfcPolyLoop,#2405,IFCPOLYLOOP
IfcPolyLoop,#5329,IFCPOLYLOOP
IfcPolyLoop,#5348,IFCPOLYLOOP
IfcPolyLoop,#5355,IFCPOLYLOOP
IfcPolyLoop,#5358,IFCPOLYLOOP
IfcPolyLoop,#5361,IFCPOLYLOOP
IfcPolyLoop,#5364,IFCPOLYLOOP
IfcPolyLoop,#5369,IFCPOLYLOOP
IfcPolyLoop,#5372,IFCPOLYLOOP
IfcPolyLoop,#5375,IFCPOLYLOOP
IfcPolyLoop,#5378,IFCPOLYLOOP
IfcPolyLoop,#5383,IFCPOLYLOOP
IfcPolyLoop,#5386,IFCPOLYLOOP
IfcPolyLoop,#5389,IFCPOLYLOOP
IfcPolyLoop,#5392,IFCPOLYLOOP
IfcPolyLoop,#9150,IFCPOLYLOOP
IfcPolyLoop,#9167,IFCPOLYLOOP
IfcPolyLoop,#9171,IFCPOLYLOOP
IfcPolyLoop,#9174,IFCPOLYLOOP
IfcPolyLoop,#9179,IFCPOLYLOOP
IfcPolyLoop,#9182,IFCPOLYLOOP
IfcPolyLoop,#9186,IFCPOLYLOOP
IfcPolyLoop,#9189,IFCPOLYLOOP
IfcPolyLoop,#9192,IFCPOLYLOOP
IfcPolyLoop,#9195,IFCPOLYLOOP
IfcPolyLoop,#9198,IFCPOLYLOOP
IfcPolyLoop,#9201,IFCPOLYLOOP
IfcPolyLoop,#9206,IFCPOLYLOOP
IfcPolyLoop,#9210,IFCPOLYLOOP
IfcPolyLoop,#9214,IFCPOLYLOOP
IfcPolyLoop,#9217,IFCPOLYLOOP
IfcPolyLoop,#9221,IFCPOLYLOOP
IfcPolyLoop,#9225,IFCPOLYLOOP
