:LABEL,global_id,id,ifc_type
IfcPresentationLayerAssignment,A-AREA-IDEN,#39102,IFCPRESENTATIONLAYERASSIGNMENT
IfcPresentationLayerAssignment,A-CLNG-SUSP,#39103,IFCPRESENTATIONLAYERASSIGNMENT
IfcPresentationLayerAssignment,A-DOOR,#39104,IFCPRESENTATIONLAYERASSIGNMENT
IfcPresentationLayerAssignment,A-FLOR-CASE,#39105,IFCPRESENTATIONLAYERASSIGNMENT
IfcPresentationLayerAssignment,A-FLOR-HRAL,#39106,IFCPRESENTATIONLAYERASSIGNMENT
IfcPresentationLayerAssignment,A-FLOR-OTLN,#39107,IFCPRESENTATIONLAYERASSIGNMENT
IfcPresentationLayerAssignment,A-FLOR-STRS,#39108,IFCPRESENTATIONLAYERASSIGNMENT
IfcPresentationLayerAssignment,A-GLAZ,#39109,IFCPRESENTATIONLAYERASSIGNMENT
IfcPresentationLayerAssignment,A-ROOF,#39110,IFCPRESENTATIONLAYERASSIGNMENT
IfcPresentationLayerAssignment,A-WALL-MBNI,#39111,IFCPRESENTATIONLAYERASSIGNMENT
IfcPresentationLayerAssignment,I-FURN,#39112,IFCPRESENTATIONLAYERASSIGNMENT
IfcPresentationLayerAssignment,S-BEAM,#39113,IFCPRESENTATIONLAYERASSIGNMENT
IfcPresentationLayerAssignment,S-FNDN-FTNG,#39114,IFCPRESENTATIONLAYERASSIGNMENT
