:LABEL,id,ifc_type
IfcPresentationStyleAssignment,#63,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#208,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#351,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#510,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#1055,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#1214,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#1438,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#1623,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#1778,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#1924,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#2104,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#2633,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#2785,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3009,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3193,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3321,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3452,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3582,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3703,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3793,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3888,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3897,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3912,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3927,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3936,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3977,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#3995,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#4039,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#4083,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#4127,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#4215,IFCPRESENTATIONSTYLEASSIGNMENT
IfcPresentationStyleAssignment,#4260,IFCPRESENTATIONSTYLEASSIGNMENT
