:LABEL,id,ifc_type
IfcProductDefinitionShape,#66,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#211,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#354,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#513,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#818,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#1058,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#1217,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#1441,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#1626,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#1781,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#1927,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#2107,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#2411,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#2636,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#2788,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#3012,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#3196,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#3324,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#3455,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#3585,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#3706,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#3796,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#3998,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4042,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4086,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4130,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4218,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4286,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4398,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4464,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4507,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4552,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4597,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4642,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4817,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4867,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4917,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#4967,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#5056,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#5105,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#5164,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#5266,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#5398,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#5447,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#5497,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#5547,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#5597,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#5641,IFCPRODUCTDEFINITIONSHAPE
IfcProductDefinitionShape,#5686,IFCPRODUCTDEFINITIONSHAPE
