:LABEL,global_id,id,ifc_type,name
IfcPropertySet,2JQc$XJrD3suGONIIJdtg2,#163,IFCPROPERTYSET,Pset_SpaceCommon
IfcPropertySet,3$CwzIEefE0R_VCHuI5vKk,#190,IFCPROPERTYSET,PSet_Revit_Identity Data
IfcPropertySet,13OBxHM5j53BpqJoJaLiP0,#192,IFCPROPERTYSET,PSet_Revit_Constraints
IfcPropertySet,3a68FadBb1uxrkgQ0mNG83,#194,IFCPROPERTYSET,PSet_Revit_Dimensions
IfcPropertySet,3fwEshSY14DRIMmW6aAbUu,#196,IFCPROPERTYSET,PSet_Revit_Phasing
IfcPropertySet,2nSpriXKX65BD7qb4tCfAX,#198,IFCPROPERTYSET,PSet_Revit_Other
IfcPropertySet,3iJp0SBdfAbvqiuavtyN$_,#308,IFCPROPERTYSET,Pset_SpaceCommon
IfcPropertySet,1jWMuynbT9uu4GXyEc_sPC,#334,IFCPROPERTYSET,PSet_Revit_Identity Data
IfcPropertySet,1AdPeXzIP1lRxj439kPVip,#336,IFCPROPERTYSET,PSet_Revit_Constraints
IfcPropertySet,1o5NQx2dvCWPSliMtTa2$v,#338,IFCPROPERTYSET,PSet_Revit_Dimensions
IfcPropertySet,13Ve8Aa9zEde5BNnWn71gE,#340,IFCPROPERTYSET,PSet_Revit_Phasing
IfcPropertySet,0IS9yyQLn4YRtAZ0CAkcgr,#342,IFCPROPERTYSET,PSet_Revit_Other
IfcPropertySet,1bt3ueGi9EvOyk0DtYbiCF,#450,IFCPROPERTYSET,Pset_SpaceCommon
IfcPropertySet,1GRVQTIrn7BfsshECwqdlL,#476,IFCPROPERTYSET,PSet_Revit_Identity Data
IfcPropertySet,3pphPPRmf5g806oajLP_kf,#478,IFCPROPERTYSET,PSet_Revit_Constraints
IfcPropertySet,2Sim8EGvTAqOiKGeGOrdc2,#480,IFCPROPERTYSET,PSet_Revit_Dimensions
IfcPropertySet,3tWX4UFD93Ahi9egKM62AA,#482,IFCPROPERTYSET,PSet_Revit_Phasing
IfcPropertySet,3w9o3B7sL70PQ3FbGiVWtO,#484,IFCPROPERTYSET,PSet_Revit_Other
IfcPropertySet,0J$652G0P5FAtMekzcApi5,#693,IFCPROPERTYSET,Pset_SpaceCommon
IfcPropertySet,0jJPGiavzD$vf5lGL4fTaA,#719,IFCPROPERTYSET,PSet_Revit_Identity Data
IfcPropertySet,2Oe2wkWlH7cwmkbkX_vuQi,#721,IFCPROPERTYSET,PSet_Revit_Constraints
IfcPropertySet,2WXcQa25TFPA6hwaz39uPL,#723,IFCPROPERTYSET,PSet_Revit_Dimensions
IfcPropertySet,2vP7kuDePBBAX6mcSFEjXV,#725,IFCPROPERTYSET,PSet_Revit_Phasing
IfcPropertySet,2eYQq2_959hhLYQdgd5O2h,#727,IFCPROPERTYSET,PSet_Revit_Other
IfcPropertySet,1StNQJqzD8RfiHvhEbzc_A,#1012,IFCPROPERTYSET,Pset_SpaceCommon
IfcPropertySet,01KcMkMcj5V9EBOIAYxZXk,#1038,IFCPROPERTYSET,PSet_Revit_Identity Data
IfcPropertySet,1n$t$0wBT81hcmSOrz$qy6,#1040,IFCPROPERTYSET,PSet_Revit_Constraints
IfcPropertySet,0s2gvnbuHFsPHqUBVmekO5,#1042,IFCPROPERTYSET,PSet_Revit_Dimensions
IfcPropertySet,2ezOACTm9FHv0jlbP2VTOh,#1044,IFCPROPERTYSET,PSet_Revit_Phasing
IfcPropertySet,05Q3_sv$TAQhUsjQiutu2W,#1046,IFCPROPERTYSET,PSet_Revit_Other
IfcPropertySet,0$aSB1$xf2BPiJ5R6z2Gjg,#1160,IFCPROPERTYSET,Pset_SpaceCommon
IfcPropertySet,012aw$yKX9ZgqLyqCRkypl,#1186,IFCPROPERTYSET,PSet_Revit_Identity Data
IfcPropertySet,16scNHhvf4KAd98PLvSc$Y,#1188,IFCPROPERTYSET,PSet_Revit_Constraints
IfcPropertySet,1c9QrLEi51DAOC5wSkN0jT,#1190,IFCPROPERTYSET,PSet_Revit_Dimensions
IfcPropertySet,3$OG_qiHLDHPA2ZA6BKGtA,#1192,IFCPROPERTYSET,PSet_Revit_Phasing
IfcPropertySet,3Oi8Eik5T05RR6c1VMqDvx,#1194,IFCPROPERTYSET,PSet_Revit_Other
