:LABEL,id,ifc_type,name,numeric_value,property_name,text_value
IfcPropertySingleValue,#159,IFCPROPERTYSINGLEVALUE,Reference,,Reference,
IfcPropertySingleValue,#160,IFCPROPERTYSINGLEVALUE,CeilingCovering,,CeilingCovering,CeilingCovering
IfcPropertySingleValue,#161,IFCPROPERTYSINGLEVALUE,WallCovering,,WallCovering,WallCovering
IfcPropertySingleValue,#162,IFCPROPERTYSINGLEVALUE,FloorCovering,,FloorCovering,FloorCovering
IfcPropertySingleValue,#165,IFCPROPERTYSINGLEVALUE,Number,,Number,A102
IfcPropertySingleValue,#166,IFCPROPERTYSINGLEVALUE,Name,,Name,Living Room
IfcPropertySingleValue,#167,IFCPROPERTYSINGLEVALUE,Level,,Level,Level 1
IfcPropertySingleValue,#168,IFCPROPERTYSINGLEVALUE,Upper Limit,,Upper Limit,Level 1
IfcPropertySingleValue,#169,IFCPROPERTYSINGLEVALUE,Limit Offset,2.6,Limit Offset,
IfcPropertySingleValue,#170,IFCPROPERTYSINGLEVALUE,Area,30.14164524999992,Area,
IfcPropertySingleValue,#171,IFCPROPERTYSINGLEVALUE,Perimeter,22.02799999999997,Perimeter,
IfcPropertySingleValue,#172,IFCPROPERTYSINGLEVALUE,Unbounded Height,2.6,Unbounded Height,
IfcPropertySingleValue,#173,IFCPROPERTYSINGLEVALUE,Volume,71.3906897089998,Volume,
IfcPropertySingleValue,#174,IFCPROPERTYSINGLEVALUE,Phase,,Phase,New Construction
IfcPropertySingleValue,#175,IFCPROPERTYSINGLEVALUE,OmniClass Table 13 Category,,OmniClass Table 13 Category,13-51 24: Living Spaces
IfcPropertySingleValue,#176,IFCPROPERTYSINGLEVALUE,Base Offset,0.0,Base Offset,
IfcPropertySingleValue,#177,IFCPROPERTYSINGLEVALUE,CeilingCovering,,CeilingCovering,CeilingCovering
IfcPropertySingleValue,#178,IFCPROPERTYSINGLEVALUE,FloorCovering,,FloorCovering,FloorCovering
IfcPropertySingleValue,#179,IFCPROPERTYSINGLEVALUE,WallCovering,,WallCovering,WallCovering
IfcPropertySingleValue,#180,IFCPROPERTYSINGLEVALUE,LoadCapacity,,LoadCapacity,LoadCapacity
IfcPropertySingleValue,#181,IFCPROPERTYSINGLEVALUE,Category Description,,Category Description,Living Spaces
IfcPropertySingleValue,#182,IFCPROPERTYSINGLEVALUE,Category Code,,Category Code,13-51 24
IfcPropertySingleValue,#183,IFCPROPERTYSINGLEVALUE,CirculationZoneName,,CirculationZoneName,Unit A CirculationZoneName
IfcPropertySingleValue,#184,IFCPROPERTYSINGLEVALUE,FireAlarmZoneName,,FireAlarmZoneName,Unit A FireAlarmZoneName
IfcPropertySingleValue,#185,IFCPROPERTYSINGLEVALUE,HistoricPreservationZoneName,,HistoricPreservationZoneName,Unit A HistoricPreservationZoneName
IfcPropertySingleValue,#186,IFCPROPERTYSINGLEVALUE,LightingZoneName,,LightingZoneName,Unit A LightingZoneName
IfcPropertySingleValue,#187,IFCPROPERTYSINGLEVALUE,OccupancyZoneName,,OccupancyZoneName,Unit A OccupancyZoneName
IfcPropertySingleValue,#188,IFCPROPERTYSINGLEVALUE,VentilationZoneName,,VentilationZoneName,Unit A VentilationZoneName
IfcPropertySingleValue,#189,IFCPROPERTYSINGLEVALUE,RoomTag,,RoomTag,RoomTag
IfcPropertySingleValue,#304,IFCPROPERTYSINGLEVALUE,Reference,,Reference,
IfcPropertySingleValue,#305,IFCPROPERTYSINGLEVALUE,CeilingCovering,,CeilingCovering,CeilingCovering
IfcPropertySingleValue,#306,IFCPROPERTYSINGLEVALUE,WallCovering,,WallCovering,WallCovering
IfcPropertySingleValue,#307,IFCPROPERTYSINGLEVALUE,FloorCovering,,FloorCovering,FloorCovering
