:LABEL,global_id,id,ifc_type
IfcRELCONTAINEDINSPATIALSTRUCTURE,1OnF7j$Fj2cP4Xy3mK4kIj,#38298,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,0jhxSK53z3pxjw0BkrBPlO,#38309,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,1r1dNJmmP8kB7iDB$DoF_F,#38319,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,0yjJ6N$wD2kfre4S1$lVJf,#38330,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,2UCaZkgYb1h8JT$WYIuSAX,#38345,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,1MP07bBzT6zBpJTsfmd_lI,#38346,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,1d5AvRcmP9xuXjyi_pQ1k$,#38347,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,2V7GTP4vX5SxzTYePgxo_z,#38348,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,31Ont0taD6dx31BRi_5LrC,#38349,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,066ZTZCdfA$hyZXIeKoLN9,#38350,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,0S5bxbJXX7yR6EQQkY9pZC,#38351,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,1$znIZCDr7IRIDOwiYHdiX,#38352,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,1DrPm_24bErQ1OLWfhdX_h,#38353,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,3pEFVYrCPBaxU_NegLJnxW,#38354,IFCRELCONTAINEDINSPATIALSTRUCTURE
IfcRELCONTAINEDINSPATIALSTRUCTURE,2FK3PgUTX0tfQdRZc_LDIM,#38355,IFCRELCONTAINEDINSPATIALSTRUCTURE
