:LABEL,global_id,id,ifc_type
IfcRELDEFINESBYPROPERTIES,3JCODKsnPDnQCwOVmiNtvy,#70,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,1ZroijPDfBHO$UcKpfKQPq,#164,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,2h58m7EqH9FeAHtAbXaZnn,#191,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,1JaoV4ZF18ROWBtWH5swBl,#193,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,1EKsiKMd17lO2jWco5pFC5,#195,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,1R2QMy08r3$fefaI7ScThl,#197,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,23ESJq6NDED9zyOs5B$vq5,#199,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,0l4E5vpRPEXAIHJB8k0ErE,#215,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,0A_BP_RLbDsPWTx_LuSFKc,#309,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,2jZgsKBgT1Swh$g84kB4WJ,#335,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,2$8tWvRibFcBwjGOJnBe4o,#337,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,2csUakHTXEewtxsYXO3cwS,#339,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,1hwbrcHOv9txZLPUHeP0rw,#341,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,3la6jmHCDAvB0o4Wyn5L$Q,#343,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,0We32diCj71fZenGNvDXAR,#358,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,0SW7vDftf018Emz$iqb$v4,#451,IFCRELDEFINESBYPROPERTIES
IfcRELDEFINESBYPROPERTIES,2vRsnDsaf9bwD4AkleeGtx,#477,IFCRELDEFINESBYPROPERTIES
