:LABEL,global_id,id,ifc_type
IfcRELSPACEBOUNDARY,3XigBlHYfFnxzvgV9_gBmP,#127,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,1U6hWyLM91i9RoMdXOllWF,#135,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3Ygg$nATn8ZAUY8bCUYNkA,#143,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,0NKEaUzf99fuxDk1J5MoVr,#274,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,2QuCH3GPT7dAer_nm8vgiG,#282,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,2BixqGFLPDbRzR4PZKrLSe,#614,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3uC3f8oRj24e0ANGAMwUTt,#622,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,0PioX_SwT5FOkI7pnoPwMI,#658,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,1s527tn196NuzF9kHrCbcC,#666,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,260FWehdf7pB_qfNUjpchq,#674,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,2xWkIj4Iz79OxKi_CU3oH8,#999,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,1xHCvD$49B5BBXDkTPXEsu,#1007,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,01PXMxNMf1894RHCq$MVTu,#1698,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,1eiEFsPgr9D8AdGm6imDvK,#1706,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3L02RVqRTAM8Ba4QuY72gO,#1714,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,0IKd_z8DTFeeiO_Qs4WGF0,#1846,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,0h3btEICP42POXeFy82bLJ,#1854,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,0k1g$r7Pz2Kw9l0hLaXHUz,#2214,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,0itN8O2BLF4eOfxfXwTzGU,#2222,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3kgs_8svj8jfkCLGJ9ge0L,#2258,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,0nyrB$JYbBtOzW$pRowvi3,#2266,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,05qaYpLH93q8bV_usOol_y,#2274,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3JL$HrTHv03Bmx00gxBWO0,#2578,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3o1W1Ta6H4ufOfq6KP6A8Z,#2586,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3QsXxaUgv51R0_iTL4CqMm,#3517,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,2JKv28W6T8aOXGWa9KHV1V,#3525,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3nyuifzr1BFRNFQ1nmXAiL,#3647,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,21UcPKH4152uFYkS5dhyTV,#3655,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,0inYCC49j0XPng1AEEnHCp,#38685,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3yszVxukr4uv$ILZHfME$w,#38686,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3fWnuEx3P0og1rpzyjtqAc,#38687,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3gUS2r7bXFl8_EZ3iDGzGe,#38688,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,1fV4DvLsj7KgSAcD8SKGus,#38689,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,2f6dudzG18HO5EnWqfe16C,#38690,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3FaYkKlMH8MPhtHmtX1O4t,#38691,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,0z9dsmE5H5XBcUTKn5LEOC,#38692,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3mmERYOHn0I9sBVpSah_Ic,#38693,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,0GM2Z6FZv9SfppZPwbGcwJ,#38694,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,3fd7scs6zBLAjiZ9gSC1l8,#38695,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,2rYu$EZYHFhffqCabO85Du,#38696,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,1p84SA86LAMRtYYIdn_veE,#38697,IFCRELSPACEBOUNDARY
IfcRELSPACEBOUNDARY,2OHwB_Ecr7u97VWeavxW8d,#38698,IFCRELSPACEBOUNDARY
