:LABEL,id,ifc_type,profile_type,x_dim,y_dim
IfcRectangleProfileDef,#56,IFCRECTANGLEPROFILEDEF,AREA,4.782999999999987,5.782999999999996
IfcRectangleProfileDef,#204,IFCRECTANGLEPROFILEDEF,AREA,5.808999999999999,2.229999999999983
IfcRectangleProfileDef,#347,IFCRECTANGLEPROFILEDEF,AREA,2.171000000000033,1.456
IfcRectangleProfileDef,#1051,IFCRECTANGLEPROFILEDEF,AREA,1.524000000000019,3.104615764928482
IfcRectangleProfileDef,#1619,IFCRECTANGLEPROFILEDEF,AREA,4.782999999999994,5.783
IfcRectangleProfileDef,#1774,IFCRECTANGLEPROFILEDEF,AREA,5.808999999999987,2.229999999999981
IfcRectangleProfileDef,#1920,IFCRECTANGLEPROFILEDEF,AREA,2.171000000000043,1.456000000000002
IfcRectangleProfileDef,#2629,IFCRECTANGLEPROFILEDEF,AREA,1.52399999999999,3.120051178510583
IfcRectangleProfileDef,#3189,IFCRECTANGLEPROFILEDEF,AREA,1.524000000000018,0.93138423507152
IfcRectangleProfileDef,#3317,IFCRECTANGLEPROFILEDEF,AREA,1.52399999999999,0.9159488214894087
IfcRectangleProfileDef,#3699,IFCRECTANGLEPROFILEDEF,AREA,7.965999999999999,16.96599999999997
IfcRectangleProfileDef,#3787,IFCRECTANGLEPROFILEDEF,AREA,8.800000000000002,0.4170000000000001
IfcRectangleProfileDef,#3992,IFCRECTANGLEPROFILEDEF,AREA,17.38299999999997,0.4170000000000005
IfcRectangleProfileDef,#4036,IFCRECTANGLEPROFILEDEF,AREA,8.382999999999974,0.4170000000000005
IfcRectangleProfileDef,#4080,IFCRECTANGLEPROFILEDEF,AREA,16.96599999999997,0.4170000000000001
IfcRectangleProfileDef,#4124,IFCRECTANGLEPROFILEDEF,AREA,3.582999999999997,0.124
IfcRectangleProfileDef,#4212,IFCRECTANGLEPROFILEDEF,AREA,2.920000000000042,0.124
IfcRectangleProfileDef,#4257,IFCRECTANGLEPROFILEDEF,AREA,4.200999999999985,0.5500000000000006
IfcRectangleProfileDef,#4370,IFCRECTANGLEPROFILEDEF,AREA,4.201000000000001,0.5499999999999995
IfcRectangleProfileDef,#4436,IFCRECTANGLEPROFILEDEF,AREA,2.200000000000027,0.5500000000000006
