:LABEL,id,ifc_type
IfcStyledItem,#64,IFCSTYLEDITEM
IfcStyledItem,#209,IFCSTYLEDITEM
IfcStyledItem,#352,IFCSTYLEDITEM
IfcStyledItem,#511,IFCSTYLEDITEM
IfcStyledItem,#1056,IFCSTYLEDITEM
IfcStyledItem,#1215,IFCSTYLEDITEM
IfcStyledItem,#1439,IFCSTYLEDITEM
IfcStyledItem,#1624,IFCSTYLEDITEM
IfcStyledItem,#1779,IFCSTYLEDITEM
IfcStyledItem,#1925,IFCSTYLEDITEM
IfcStyledItem,#2105,IFCSTYLEDITEM
IfcStyledItem,#2634,IFCSTYLEDITEM
IfcStyledItem,#2786,IFCSTYLEDITEM
IfcStyledItem,#3010,IFCSTYLEDITEM
IfcStyledItem,#3194,IFCSTYLEDITEM
IfcStyledItem,#3322,IFCSTYLEDITEM
IfcStyledItem,#3453,IFCSTYLEDITEM
IfcStyledItem,#3583,IFCSTYLEDITEM
IfcStyledItem,#3704,IFCSTYLEDITEM
IfcStyledItem,#3794,IFCSTYLEDITEM
IfcStyledItem,#3889,IFCSTYLEDITEM
IfcStyledItem,#3898,IFCSTYLEDITEM
IfcStyledItem,#3913,IFCSTYLEDITEM
IfcStyledItem,#3928,IFCSTYLEDITEM
IfcStyledItem,#3937,IFCSTYLEDITEM
IfcStyledItem,#3978,IFCSTYLEDITEM
IfcStyledItem,#3996,IFCSTYLEDITEM
IfcStyledItem,#4040,IFCSTYLEDITEM
IfcStyledItem,#4084,IFCSTYLEDITEM
IfcStyledItem,#4128,IFCSTYLEDITEM
IfcStyledItem,#4216,IFCSTYLEDITEM
IfcStyledItem,#4261,IFCSTYLEDITEM
IfcStyledItem,#4374,IFCSTYLEDITEM
IfcStyledItem,#4440,IFCSTYLEDITEM
IfcStyledItem,#4505,IFCSTYLEDITEM
IfcStyledItem,#4550,IFCSTYLEDITEM
IfcStyledItem,#4595,IFCSTYLEDITEM
IfcStyledItem,#4640,IFCSTYLEDITEM
IfcStyledItem,#4797,IFCSTYLEDITEM
IfcStyledItem,#4815,IFCSTYLEDITEM
