:LABEL,id,ifc_type
IfcSurfaceOfLinearExtrusion,#96,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#103,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#111,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#118,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#125,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#133,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#141,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#149,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#157,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#257,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#265,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#272,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#280,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#288,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#295,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#302,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#409,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#416,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#423,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#430,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#437,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#444,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#598,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#605,IFCSURFACEOFLINEAREXTRUSION
IfcSurfaceOfLinearExtrusion,#612,IFCSURFACEOFLINEAREXTRUSION
