:LABEL,global_id,id,ifc_type
IfcSurfaceStyle,Interior Fill,#62,IFCSURFACESTYLE
IfcSurfaceStyle,Default Wall,#3792,IFCSURFACESTYLE
IfcSurfaceStyle,Masonry - Brick,#3879,IFCSURFACESTYLE
IfcSurfaceStyle,Misc. Air Layers - Air Space,#3896,IFCSURFACESTYLE
IfcSurfaceStyle,Insulation / Thermal Barriers - Rigid insulation,#3905,IFCSURFACESTYLE
IfcSurfaceStyle,Masonry - Concrete Block,#3920,IFCSURFACESTYLE
IfcSurfaceStyle,Metal - Stud Layer,#3935,IFCSURFACESTYLE
IfcSurfaceStyle,Plasterboard,#3944,IFCSURFACESTYLE
IfcSurfaceStyle,Concrete - Cast In Situ,#4720,IFCSURFACESTYLE
IfcSurfaceStyle,Default Floor,#5160,IFCSURFACESTYLE
IfcSurfaceStyle,Concrete,#5238,IFCSURFACESTYLE
IfcSurfaceStyle,Wood - Sheathing - plywood,#6203,IFCSURFACESTYLE
IfcSurfaceStyle,Wood - Dimensional Lumber,#6216,IFCSURFACESTYLE
IfcSurfaceStyle,Glass,#6302,IFCSURFACESTYLE
IfcSurfaceStyle,Sash,#6323,IFCSURFACESTYLE
IfcSurfaceStyle,Door - Frame,#6587,IFCSURFACESTYLE
IfcSurfaceStyle,Door - Panel,#6613,IFCSURFACESTYLE
IfcSurfaceStyle,Trim,#7542,IFCSURFACESTYLE
IfcSurfaceStyle,Wood - Flooring,#8460,IFCSURFACESTYLE
IfcSurfaceStyle,Cabinets,#12258,IFCSURFACESTYLE
IfcSurfaceStyle,Counter Top,#16207,IFCSURFACESTYLE
IfcSurfaceStyle,Wood - Teak,#17434,IFCSURFACESTYLE
IfcSurfaceStyle,"Glass - Clear, Grey",#17476,IFCSURFACESTYLE
IfcSurfaceStyle,Metal - Chrome,#17497,IFCSURFACESTYLE
IfcSurfaceStyle,Textile - White,#17963,IFCSURFACESTYLE
IfcSurfaceStyle,Insulation / Thermal Barriers - Semi-rigid insulation,#20874,IFCSURFACESTYLE
IfcSurfaceStyle,Ceramic Tile,#21267,IFCSURFACESTYLE
IfcSurfaceStyle,Masonry - Grout,#21282,IFCSURFACESTYLE
IfcSurfaceStyle,Default Roof,#22486,IFCSURFACESTYLE
IfcSurfaceStyle,Site - Grass,#22619,IFCSURFACESTYLE
IfcSurfaceStyle,Roofing - Barrier,#22628,IFCSURFACESTYLE
IfcSurfaceStyle,Roofing - EPDM Membrane,#22637,IFCSURFACESTYLE
IfcSurfaceStyle,Metal - Steel - 345 MPa,#36681,IFCSURFACESTYLE
