:START_ID,:END_ID,:TYPE
#22475,#22492,AGGREGATES
#9021,#8970,AGGREGATES
#9021,#9002,AGGREGATES
#9021,#9020,AGGREGATES
#9021,#9326,AGGREGATES
#9021,#12184,AGGREGATES
#32116,#32063,AGGREGATES
#32116,#32096,AGGREGATES
#32116,#32115,AGGREGATES
#32116,#32346,AGGREGATES
#32116,#35163,AGGREGATES
#34,#38274,AGGREGATES
#38274,#36,AGGREGATES
#39,#67,AGGREGATES
#39,#212,AGGREGATES
#39,#355,AGGREGATES
#39,#514,AGGREGATES
#39,#1627,AGGREGATES
#39,#1782,AGGREGATES
#39,#1928,AGGREGATES
#39,#2108,AGGREGATES
#39,#3456,AGGREGATES
#39,#3586,AGGREGATES
#43,#819,AGGREGATES
#43,#1059,AGGREGATES
#43,#1218,AGGREGATES
#43,#1442,AGGREGATES
#43,#2412,AGGREGATES
#43,#2637,AGGREGATES
#43,#2789,AGGREGATES
#43,#3013,AGGREGATES
#43,#3197,AGGREGATES
#43,#3325,AGGREGATES
#51,#3707,AGGREGATES
#36,#39,AGGREGATES
#36,#43,AGGREGATES
#36,#47,AGGREGATES
#36,#51,AGGREGATES
