:START_ID,:END_ID,:TYPE
#39,#3797,CONTAINS
#39,#3999,CONTAINS
#39,#4043,CONTAINS
#39,#4087,CONTAINS
#39,#4131,CONTAINS
#39,#4219,CONTAINS
#39,#4287,CONTAINS
#39,#4399,CONTAINS
#39,#4465,CONTAINS
#39,#4508,CONTAINS
#39,#4553,CONTAINS
#39,#4598,CONTAINS
#39,#5165,CONTAINS
#39,#5267,CONTAINS
#39,#5642,CONTAINS
#39,#5903,CONTAINS
#39,#6426,CONTAINS
#39,#6531,CONTAINS
#39,#6652,CONTAINS
#39,#6757,CONTAINS
#39,#6921,CONTAINS
#39,#7025,CONTAINS
#39,#8066,CONTAINS
#39,#8169,CONTAINS
#39,#9021,CONTAINS
#39,#21401,CONTAINS
#39,#21449,CONTAINS
#39,#21497,CONTAINS
#39,#21545,CONTAINS
#39,#21610,CONTAINS
#39,#21658,CONTAINS
#39,#21821,CONTAINS
#39,#21929,CONTAINS
#39,#23671,CONTAINS
#39,#23768,CONTAINS
#39,#23826,CONTAINS
#39,#23884,CONTAINS
#39,#23992,CONTAINS
#39,#24596,CONTAINS
#39,#24680,CONTAINS
#39,#24723,CONTAINS
#39,#24768,CONTAINS
#39,#24813,CONTAINS
#39,#32116,CONTAINS
#39,#35452,CONTAINS
#39,#35497,CONTAINS
#39,#36686,CONTAINS
#39,#36892,CONTAINS
#39,#37325,CONTAINS
#39,#37456,CONTAINS
#39,#37777,CONTAINS
#39,#37864,CONTAINS
#43,#5399,CONTAINS
#43,#5448,CONTAINS
#43,#5498,CONTAINS
#43,#5548,CONTAINS
#43,#5598,CONTAINS
#43,#5687,CONTAINS
#43,#5731,CONTAINS
#43,#5775,CONTAINS
#43,#5859,CONTAINS
#43,#5948,CONTAINS
#43,#5992,CONTAINS
#43,#6036,CONTAINS
#43,#6080,CONTAINS
#43,#6132,CONTAINS
#43,#6247,CONTAINS
#43,#7190,CONTAINS
#43,#7407,CONTAINS
#43,#7639,CONTAINS
#43,#7743,CONTAINS
#43,#7795,CONTAINS
#43,#7847,CONTAINS
#43,#7899,CONTAINS
#43,#7951,CONTAINS
#43,#8283,CONTAINS
#43,#8386,CONTAINS
#43,#15962,CONTAINS
#43,#16013,CONTAINS
#43,#16064,CONTAINS
#43,#16115,CONTAINS
#43,#20792,CONTAINS
#43,#20903,CONTAINS
#43,#20958,CONTAINS
#43,#21013,CONTAINS
#43,#21080,CONTAINS
#43,#21147,CONTAINS
#43,#21195,CONTAINS
#43,#21336,CONTAINS
#43,#21980,CONTAINS
#43,#22032,CONTAINS
#43,#22084,CONTAINS
#43,#22136,CONTAINS
#43,#22188,CONTAINS
#43,#22240,CONTAINS
#43,#22292,CONTAINS
#43,#22344,CONTAINS
#43,#22396,CONTAINS
#43,#22448,CONTAINS
#43,#24060,CONTAINS
#43,#24128,CONTAINS
#43,#24186,CONTAINS
#43,#24268,CONTAINS
#43,#24326,CONTAINS
#43,#24408,CONTAINS
#43,#24476,CONTAINS
#43,#24544,CONTAINS
#43,#31431,CONTAINS
#43,#31476,CONTAINS
#43,#35199,CONTAINS
#43,#35318,CONTAINS
#43,#35357,CONTAINS
#43,#35413,CONTAINS
#43,#37065,CONTAINS
#43,#37195,CONTAINS
#43,#37586,CONTAINS
#43,#37716,CONTAINS
#43,#37913,CONTAINS
#43,#37970,CONTAINS
#43,#38015,CONTAINS
#43,#38060,CONTAINS
#43,#38105,CONTAINS
#43,#38150,CONTAINS
#43,#38195,CONTAINS
#43,#38240,CONTAINS
#47,#4643,CONTAINS
#47,#4818,CONTAINS
#47,#4868,CONTAINS
#47,#4918,CONTAINS
#47,#4968,CONTAINS
#47,#5057,CONTAINS
#47,#5106,CONTAINS
#47,#23286,CONTAINS
#47,#23369,CONTAINS
#47,#23408,CONTAINS
#47,#23446,CONTAINS
#47,#23485,CONTAINS
#47,#23524,CONTAINS
#47,#23562,CONTAINS
#51,#22475,CONTAINS
#51,#22663,CONTAINS
#51,#22708,CONTAINS
#51,#22753,CONTAINS
#51,#22798,CONTAINS
#51,#23162,CONTAINS
#51,#23251,CONTAINS
#67,#17786,CONTAINS
#67,#17815,CONTAINS
#67,#17844,CONTAINS
#67,#17873,CONTAINS
#67,#17902,CONTAINS
#212,#16641,CONTAINS
#212,#16667,CONTAINS
#212,#16693,CONTAINS
#212,#16719,CONTAINS
#212,#16802,CONTAINS
#212,#16884,CONTAINS
#212,#16914,CONTAINS
#212,#16940,CONTAINS
#212,#16971,CONTAINS
#212,#16997,CONTAINS
#212,#17023,CONTAINS
#212,#26941,CONTAINS
#212,#29098,CONTAINS
#212,#29127,CONTAINS
#212,#31241,CONTAINS
#355,#36423,CONTAINS
#1059,#36125,CONTAINS
#1059,#36151,CONTAINS
#1218,#13331,CONTAINS
#1218,#13685,CONTAINS
#1218,#20755,CONTAINS
#1218,#36584,CONTAINS
#1442,#14040,CONTAINS
#1442,#14394,CONTAINS
#1442,#20657,CONTAINS
#1442,#36526,CONTAINS
#1627,#17341,CONTAINS
#1627,#17409,CONTAINS
#1627,#17532,CONTAINS
#1627,#17602,CONTAINS
#1627,#17716,CONTAINS
#1782,#15463,CONTAINS
#1782,#15856,CONTAINS
#1782,#16149,CONTAINS
#1782,#16175,CONTAINS
#1782,#16261,CONTAINS
#1782,#16411,CONTAINS
#1782,#16485,CONTAINS
#1782,#16531,CONTAINS
#1782,#16563,CONTAINS
#1782,#16589,CONTAINS
#1782,#16615,CONTAINS
#1782,#31313,CONTAINS
#1782,#31342,CONTAINS
#1782,#31371,CONTAINS
#1782,#31400,CONTAINS
#2637,#35783,CONTAINS
#2637,#35854,CONTAINS
#2789,#14749,CONTAINS
#2789,#15103,CONTAINS
#2789,#19275,CONTAINS
#2789,#36497,CONTAINS
#3013,#12574,CONTAINS
#3013,#12976,CONTAINS
#3013,#20726,CONTAINS
#3013,#36555,CONTAINS
