:START_ID,:END_ID,:TYPE
#815,#740,CONTAINS_FACE
#815,#747,CONTAINS_FACE
#815,#754,CONTAINS_FACE
#815,#759,CONTAINS_FACE
#815,#764,CONTAINS_FACE
#815,#771,CONTAINS_FACE
#815,#775,CONTAINS_FACE
#815,#782,CONTAINS_FACE
#815,#787,CONTAINS_FACE
#815,#790,CONTAINS_FACE
#815,#793,CONTAINS_FACE
#815,#802,CONTAINS_FACE
#815,#805,CONTAINS_FACE
#815,#808,CONTAINS_FACE
#815,#811,CONTAINS_FACE
#815,#814,CONTAINS_FACE
#2408,#2333,CONTAINS_FACE
#2408,#2339,CONTAINS_FACE
#2408,#2346,CONTAINS_FACE
#2408,#2351,CONTAINS_FACE
#2408,#2356,CONTAINS_FACE
#2408,#2363,CONTAINS_FACE
#2408,#2368,CONTAINS_FACE
#2408,#2375,CONTAINS_FACE
#2408,#2380,CONTAINS_FACE
#2408,#2383,CONTAINS_FACE
#2408,#2386,CONTAINS_FACE
#2408,#2395,CONTAINS_FACE
#2408,#2398,CONTAINS_FACE
#2408,#2401,CONTAINS_FACE
#2408,#2404,CONTAINS_FACE
#2408,#2407,CONTAINS_FACE
#5395,#5331,CONTAINS_FACE
#5395,#5350,CONTAINS_FACE
#5395,#5357,CONTAINS_FACE
#5395,#5360,CONTAINS_FACE
#5395,#5363,CONTAINS_FACE
#5395,#5366,CONTAINS_FACE
#5395,#5371,CONTAINS_FACE
#5395,#5374,CONTAINS_FACE
#5395,#5377,CONTAINS_FACE
#5395,#5380,CONTAINS_FACE
#5395,#5385,CONTAINS_FACE
#5395,#5388,CONTAINS_FACE
#5395,#5391,CONTAINS_FACE
#5395,#5394,CONTAINS_FACE
#9322,#9152,CONTAINS_FACE
#9322,#9169,CONTAINS_FACE
#9322,#9173,CONTAINS_FACE
#9322,#9176,CONTAINS_FACE
#9322,#9181,CONTAINS_FACE
#9322,#9184,CONTAINS_FACE
#9322,#9188,CONTAINS_FACE
#9322,#9191,CONTAINS_FACE
#9322,#9194,CONTAINS_FACE
#9322,#9197,CONTAINS_FACE
#9322,#9200,CONTAINS_FACE
#9322,#9203,CONTAINS_FACE
#9322,#9208,CONTAINS_FACE
#9322,#9212,CONTAINS_FACE
#9322,#9216,CONTAINS_FACE
#9322,#9219,CONTAINS_FACE
#9322,#9223,CONTAINS_FACE
#9322,#9227,CONTAINS_FACE
#9322,#9230,CONTAINS_FACE
#9322,#9233,CONTAINS_FACE
#9322,#9236,CONTAINS_FACE
#9322,#9239,CONTAINS_FACE
#9322,#9242,CONTAINS_FACE
#9322,#9245,CONTAINS_FACE
#9322,#9248,CONTAINS_FACE
#9322,#9253,CONTAINS_FACE
#9322,#9258,CONTAINS_FACE
#9322,#9261,CONTAINS_FACE
#9322,#9264,CONTAINS_FACE
#9322,#9267,CONTAINS_FACE
#9322,#9270,CONTAINS_FACE
#9322,#9274,CONTAINS_FACE
#9322,#9277,CONTAINS_FACE
#9322,#9280,CONTAINS_FACE
#9322,#9284,CONTAINS_FACE
#9322,#9287,CONTAINS_FACE
#9322,#9292,CONTAINS_FACE
#9322,#9296,CONTAINS_FACE
#9322,#9299,CONTAINS_FACE
#9322,#9303,CONTAINS_FACE
#9322,#9306,CONTAINS_FACE
#9322,#9309,CONTAINS_FACE
#9322,#9312,CONTAINS_FACE
#9322,#9315,CONTAINS_FACE
#9322,#9318,CONTAINS_FACE
#9322,#9321,CONTAINS_FACE
#9809,#9789,CONTAINS_FACE
#9809,#9794,CONTAINS_FACE
#9809,#9799,CONTAINS_FACE
#9809,#9802,CONTAINS_FACE
#9809,#9805,CONTAINS_FACE
#9809,#9808,CONTAINS_FACE
#9836,#9816,CONTAINS_FACE
#9836,#9821,CONTAINS_FACE
#9836,#9826,CONTAINS_FACE
#9836,#9829,CONTAINS_FACE
#9836,#9832,CONTAINS_FACE
#9836,#9835,CONTAINS_FACE
#9863,#9843,CONTAINS_FACE
#9863,#9848,CONTAINS_FACE
#9863,#9853,CONTAINS_FACE
#9863,#9856,CONTAINS_FACE
#9863,#9859,CONTAINS_FACE
#9863,#9862,CONTAINS_FACE
#9890,#9870,CONTAINS_FACE
#9890,#9875,CONTAINS_FACE
#9890,#9880,CONTAINS_FACE
#9890,#9883,CONTAINS_FACE
#9890,#9886,CONTAINS_FACE
#9890,#9889,CONTAINS_FACE
#9917,#9897,CONTAINS_FACE
#9917,#9902,CONTAINS_FACE
#9917,#9907,CONTAINS_FACE
#9917,#9910,CONTAINS_FACE
#9917,#9913,CONTAINS_FACE
#9917,#9916,CONTAINS_FACE
#9944,#9924,CONTAINS_FACE
#9944,#9929,CONTAINS_FACE
#9944,#9934,CONTAINS_FACE
#9944,#9937,CONTAINS_FACE
#9944,#9940,CONTAINS_FACE
#9944,#9943,CONTAINS_FACE
#9971,#9951,CONTAINS_FACE
#9971,#9956,CONTAINS_FACE
#9971,#9961,CONTAINS_FACE
#9971,#9964,CONTAINS_FACE
#9971,#9967,CONTAINS_FACE
#9971,#9970,CONTAINS_FACE
#9998,#9978,CONTAINS_FACE
#9998,#9983,CONTAINS_FACE
#9998,#9988,CONTAINS_FACE
#9998,#9991,CONTAINS_FACE
#9998,#9994,CONTAINS_FACE
#9998,#9997,CONTAINS_FACE
#10025,#10005,CONTAINS_FACE
#10025,#10010,CONTAINS_FACE
#10025,#10015,CONTAINS_FACE
#10025,#10018,CONTAINS_FACE
#10025,#10021,CONTAINS_FACE
#10025,#10024,CONTAINS_FACE
#10052,#10032,CONTAINS_FACE
#10052,#10037,CONTAINS_FACE
#10052,#10042,CONTAINS_FACE
#10052,#10045,CONTAINS_FACE
#10052,#10048,CONTAINS_FACE
#10052,#10051,CONTAINS_FACE
#10079,#10059,CONTAINS_FACE
#10079,#10064,CONTAINS_FACE
#10079,#10069,CONTAINS_FACE
#10079,#10072,CONTAINS_FACE
#10079,#10075,CONTAINS_FACE
#10079,#10078,CONTAINS_FACE
#10106,#10086,CONTAINS_FACE
#10106,#10091,CONTAINS_FACE
#10106,#10096,CONTAINS_FACE
#10106,#10099,CONTAINS_FACE
#10106,#10102,CONTAINS_FACE
#10106,#10105,CONTAINS_FACE
#10133,#10113,CONTAINS_FACE
#10133,#10118,CONTAINS_FACE
#10133,#10123,CONTAINS_FACE
#10133,#10126,CONTAINS_FACE
#10133,#10129,CONTAINS_FACE
#10133,#10132,CONTAINS_FACE
#10160,#10140,CONTAINS_FACE
#10160,#10145,CONTAINS_FACE
#10160,#10150,CONTAINS_FACE
#10160,#10153,CONTAINS_FACE
#10160,#10156,CONTAINS_FACE
#10160,#10159,CONTAINS_FACE
#10187,#10167,CONTAINS_FACE
#10187,#10172,CONTAINS_FACE
#10187,#10177,CONTAINS_FACE
#10187,#10180,CONTAINS_FACE
#10187,#10183,CONTAINS_FACE
#10187,#10186,CONTAINS_FACE
#10214,#10194,CONTAINS_FACE
#10214,#10199,CONTAINS_FACE
#10214,#10204,CONTAINS_FACE
#10214,#10207,CONTAINS_FACE
#10214,#10210,CONTAINS_FACE
#10214,#10213,CONTAINS_FACE
#10241,#10221,CONTAINS_FACE
#10241,#10226,CONTAINS_FACE
#10241,#10231,CONTAINS_FACE
#10241,#10234,CONTAINS_FACE
#10241,#10237,CONTAINS_FACE
#10241,#10240,CONTAINS_FACE
#10268,#10248,CONTAINS_FACE
#10268,#10253,CONTAINS_FACE
#10268,#10258,CONTAINS_FACE
#10268,#10261,CONTAINS_FACE
#10268,#10264,CONTAINS_FACE
#10268,#10267,CONTAINS_FACE
#10295,#10275,CONTAINS_FACE
#10295,#10280,CONTAINS_FACE
#10295,#10285,CONTAINS_FACE
#10295,#10288,CONTAINS_FACE
#10295,#10291,CONTAINS_FACE
#10295,#10294,CONTAINS_FACE
#10322,#10302,CONTAINS_FACE
#10322,#10307,CONTAINS_FACE
#10322,#10312,CONTAINS_FACE
#10322,#10315,CONTAINS_FACE
#10322,#10318,CONTAINS_FACE
#10322,#10321,CONTAINS_FACE
#10349,#10329,CONTAINS_FACE
#10349,#10334,CONTAINS_FACE
#10349,#10339,CONTAINS_FACE
#10349,#10342,CONTAINS_FACE
#10349,#10345,CONTAINS_FACE
#10349,#10348,CONTAINS_FACE
#10376,#10356,CONTAINS_FACE
#10376,#10361,CONTAINS_FACE
#10376,#10366,CONTAINS_FACE
#10376,#10369,CONTAINS_FACE
#10376,#10372,CONTAINS_FACE
#10376,#10375,CONTAINS_FACE
#10403,#10383,CONTAINS_FACE
#10403,#10388,CONTAINS_FACE
#10403,#10393,CONTAINS_FACE
#10403,#10396,CONTAINS_FACE
#10403,#10399,CONTAINS_FACE
#10403,#10402,CONTAINS_FACE
#10430,#10410,CONTAINS_FACE
#10430,#10415,CONTAINS_FACE
#10430,#10420,CONTAINS_FACE
#10430,#10423,CONTAINS_FACE
#10430,#10426,CONTAINS_FACE
#10430,#10429,CONTAINS_FACE
#10457,#10437,CONTAINS_FACE
#10457,#10442,CONTAINS_FACE
#10457,#10447,CONTAINS_FACE
#10457,#10450,CONTAINS_FACE
#10457,#10453,CONTAINS_FACE
#10457,#10456,CONTAINS_FACE
#10484,#10464,CONTAINS_FACE
#10484,#10469,CONTAINS_FACE
#10484,#10474,CONTAINS_FACE
#10484,#10477,CONTAINS_FACE
#10484,#10480,CONTAINS_FACE
#10484,#10483,CONTAINS_FACE
#10511,#10491,CONTAINS_FACE
#10511,#10496,CONTAINS_FACE
#10511,#10501,CONTAINS_FACE
#10511,#10504,CONTAINS_FACE
#10511,#10507,CONTAINS_FACE
#10511,#10510,CONTAINS_FACE
#10538,#10518,CONTAINS_FACE
#10538,#10523,CONTAINS_FACE
#10538,#10528,CONTAINS_FACE
#10538,#10531,CONTAINS_FACE
#10538,#10534,CONTAINS_FACE
#10538,#10537,CONTAINS_FACE
#10565,#10545,CONTAINS_FACE
#10565,#10550,CONTAINS_FACE
#10565,#10555,CONTAINS_FACE
#10565,#10558,CONTAINS_FACE
#10565,#10561,CONTAINS_FACE
#10565,#10564,CONTAINS_FACE
#10592,#10572,CONTAINS_FACE
#10592,#10577,CONTAINS_FACE
#10592,#10582,CONTAINS_FACE
#10592,#10585,CONTAINS_FACE
#10592,#10588,CONTAINS_FACE
#10592,#10591,CONTAINS_FACE
#10619,#10599,CONTAINS_FACE
#10619,#10604,CONTAINS_FACE
#10619,#10609,CONTAINS_FACE
#10619,#10612,CONTAINS_FACE
#10619,#10615,CONTAINS_FACE
#10619,#10618,CONTAINS_FACE
#10646,#10626,CONTAINS_FACE
#10646,#10631,CONTAINS_FACE
#10646,#10636,CONTAINS_FACE
#10646,#10639,CONTAINS_FACE
#10646,#10642,CONTAINS_FACE
#10646,#10645,CONTAINS_FACE
#10673,#10653,CONTAINS_FACE
#10673,#10658,CONTAINS_FACE
#10673,#10663,CONTAINS_FACE
#10673,#10666,CONTAINS_FACE
#10673,#10669,CONTAINS_FACE
#10673,#10672,CONTAINS_FACE
#10700,#10680,CONTAINS_FACE
#10700,#10685,CONTAINS_FACE
#10700,#10690,CONTAINS_FACE
#10700,#10693,CONTAINS_FACE
#10700,#10696,CONTAINS_FACE
#10700,#10699,CONTAINS_FACE
#10727,#10707,CONTAINS_FACE
#10727,#10712,CONTAINS_FACE
#10727,#10717,CONTAINS_FACE
#10727,#10720,CONTAINS_FACE
#10727,#10723,CONTAINS_FACE
#10727,#10726,CONTAINS_FACE
#10754,#10734,CONTAINS_FACE
#10754,#10739,CONTAINS_FACE
#10754,#10744,CONTAINS_FACE
#10754,#10747,CONTAINS_FACE
#10754,#10750,CONTAINS_FACE
#10754,#10753,CONTAINS_FACE
#10781,#10761,CONTAINS_FACE
#10781,#10766,CONTAINS_FACE
#10781,#10771,CONTAINS_FACE
#10781,#10774,CONTAINS_FACE
#10781,#10777,CONTAINS_FACE
#10781,#10780,CONTAINS_FACE
#10808,#10788,CONTAINS_FACE
#10808,#10793,CONTAINS_FACE
#10808,#10798,CONTAINS_FACE
#10808,#10801,CONTAINS_FACE
#10808,#10804,CONTAINS_FACE
#10808,#10807,CONTAINS_FACE
#10835,#10815,CONTAINS_FACE
#10835,#10820,CONTAINS_FACE
#10835,#10825,CONTAINS_FACE
#10835,#10828,CONTAINS_FACE
#10835,#10831,CONTAINS_FACE
#10835,#10834,CONTAINS_FACE
#10862,#10842,CONTAINS_FACE
#10862,#10847,CONTAINS_FACE
#10862,#10852,CONTAINS_FACE
#10862,#10855,CONTAINS_FACE
#10862,#10858,CONTAINS_FACE
#10862,#10861,CONTAINS_FACE
#10889,#10869,CONTAINS_FACE
#10889,#10874,CONTAINS_FACE
#10889,#10879,CONTAINS_FACE
#10889,#10882,CONTAINS_FACE
#10889,#10885,CONTAINS_FACE
#10889,#10888,CONTAINS_FACE
#10916,#10896,CONTAINS_FACE
#10916,#10901,CONTAINS_FACE
#10916,#10906,CONTAINS_FACE
#10916,#10909,CONTAINS_FACE
#10916,#10912,CONTAINS_FACE
#10916,#10915,CONTAINS_FACE
#10943,#10923,CONTAINS_FACE
#10943,#10928,CONTAINS_FACE
#10943,#10933,CONTAINS_FACE
#10943,#10936,CONTAINS_FACE
#10943,#10939,CONTAINS_FACE
#10943,#10942,CONTAINS_FACE
#10970,#10950,CONTAINS_FACE
#10970,#10955,CONTAINS_FACE
#10970,#10960,CONTAINS_FACE
#10970,#10963,CONTAINS_FACE
#10970,#10966,CONTAINS_FACE
#10970,#10969,CONTAINS_FACE
#10997,#10977,CONTAINS_FACE
#10997,#10982,CONTAINS_FACE
#10997,#10987,CONTAINS_FACE
#10997,#10990,CONTAINS_FACE
#10997,#10993,CONTAINS_FACE
#10997,#10996,CONTAINS_FACE
#11024,#11004,CONTAINS_FACE
#11024,#11009,CONTAINS_FACE
#11024,#11014,CONTAINS_FACE
#11024,#11017,CONTAINS_FACE
#11024,#11020,CONTAINS_FACE
#11024,#11023,CONTAINS_FACE
#11051,#11031,CONTAINS_FACE
#11051,#11036,CONTAINS_FACE
#11051,#11041,CONTAINS_FACE
#11051,#11044,CONTAINS_FACE
#11051,#11047,CONTAINS_FACE
#11051,#11050,CONTAINS_FACE
#11078,#11058,CONTAINS_FACE
#11078,#11063,CONTAINS_FACE
#11078,#11068,CONTAINS_FACE
#11078,#11071,CONTAINS_FACE
#11078,#11074,CONTAINS_FACE
#11078,#11077,CONTAINS_FACE
#11105,#11085,CONTAINS_FACE
#11105,#11090,CONTAINS_FACE
#11105,#11095,CONTAINS_FACE
#11105,#11098,CONTAINS_FACE
#11105,#11101,CONTAINS_FACE
#11105,#11104,CONTAINS_FACE
#11132,#11112,CONTAINS_FACE
#11132,#11117,CONTAINS_FACE
#11132,#11122,CONTAINS_FACE
#11132,#11125,CONTAINS_FACE
#11132,#11128,CONTAINS_FACE
#11132,#11131,CONTAINS_FACE
#11159,#11139,CONTAINS_FACE
#11159,#11144,CONTAINS_FACE
#11159,#11149,CONTAINS_FACE
#11159,#11152,CONTAINS_FACE
#11159,#11155,CONTAINS_FACE
#11159,#11158,CONTAINS_FACE
#11186,#11166,CONTAINS_FACE
#11186,#11171,CONTAINS_FACE
#11186,#11176,CONTAINS_FACE
#11186,#11179,CONTAINS_FACE
#11186,#11182,CONTAINS_FACE
#11186,#11185,CONTAINS_FACE
#11213,#11193,CONTAINS_FACE
#11213,#11198,CONTAINS_FACE
#11213,#11203,CONTAINS_FACE
#11213,#11206,CONTAINS_FACE
#11213,#11209,CONTAINS_FACE
#11213,#11212,CONTAINS_FACE
#11240,#11220,CONTAINS_FACE
#11240,#11225,CONTAINS_FACE
#11240,#11230,CONTAINS_FACE
#11240,#11233,CONTAINS_FACE
#11240,#11236,CONTAINS_FACE
#11240,#11239,CONTAINS_FACE
#11267,#11247,CONTAINS_FACE
#11267,#11252,CONTAINS_FACE
#11267,#11257,CONTAINS_FACE
#11267,#11260,CONTAINS_FACE
#11267,#11263,CONTAINS_FACE
#11267,#11266,CONTAINS_FACE
#11294,#11274,CONTAINS_FACE
#11294,#11279,CONTAINS_FACE
#11294,#11284,CONTAINS_FACE
#11294,#11287,CONTAINS_FACE
#11294,#11290,CONTAINS_FACE
#11294,#11293,CONTAINS_FACE
#11321,#11301,CONTAINS_FACE
#11321,#11306,CONTAINS_FACE
#11321,#11311,CONTAINS_FACE
#11321,#11314,CONTAINS_FACE
#11321,#11317,CONTAINS_FACE
#11321,#11320,CONTAINS_FACE
#11348,#11328,CONTAINS_FACE
#11348,#11333,CONTAINS_FACE
#11348,#11338,CONTAINS_FACE
#11348,#11341,CONTAINS_FACE
#11348,#11344,CONTAINS_FACE
#11348,#11347,CONTAINS_FACE
#11415,#11355,CONTAINS_FACE
#11415,#11360,CONTAINS_FACE
#11415,#11365,CONTAINS_FACE
#11415,#11372,CONTAINS_FACE
#11415,#11377,CONTAINS_FACE
#11415,#11380,CONTAINS_FACE
#11415,#11387,CONTAINS_FACE
#11415,#11392,CONTAINS_FACE
#11415,#11395,CONTAINS_FACE
#11415,#11402,CONTAINS_FACE
#11415,#11405,CONTAINS_FACE
#11415,#11408,CONTAINS_FACE
#11415,#11411,CONTAINS_FACE
#11415,#11414,CONTAINS_FACE
#11482,#11422,CONTAINS_FACE
#11482,#11427,CONTAINS_FACE
#11482,#11432,CONTAINS_FACE
#11482,#11439,CONTAINS_FACE
#11482,#11444,CONTAINS_FACE
#11482,#11447,CONTAINS_FACE
#11482,#11454,CONTAINS_FACE
#11482,#11459,CONTAINS_FACE
#11482,#11462,CONTAINS_FACE
#11482,#11469,CONTAINS_FACE
#11482,#11472,CONTAINS_FACE
#11482,#11475,CONTAINS_FACE
#11482,#11478,CONTAINS_FACE
#11482,#11481,CONTAINS_FACE
#11549,#11489,CONTAINS_FACE
#11549,#11494,CONTAINS_FACE
#11549,#11499,CONTAINS_FACE
#11549,#11506,CONTAINS_FACE
#11549,#11511,CONTAINS_FACE
#11549,#11514,CONTAINS_FACE
#11549,#11521,CONTAINS_FACE
#11549,#11526,CONTAINS_FACE
#11549,#11529,CONTAINS_FACE
#11549,#11536,CONTAINS_FACE
#11549,#11539,CONTAINS_FACE
#11549,#11542,CONTAINS_FACE
#11549,#11545,CONTAINS_FACE
#11549,#11548,CONTAINS_FACE
#11616,#11556,CONTAINS_FACE
#11616,#11561,CONTAINS_FACE
#11616,#11566,CONTAINS_FACE
#11616,#11573,CONTAINS_FACE
#11616,#11578,CONTAINS_FACE
#11616,#11581,CONTAINS_FACE
#11616,#11588,CONTAINS_FACE
#11616,#11593,CONTAINS_FACE
#11616,#11596,CONTAINS_FACE
#11616,#11603,CONTAINS_FACE
#11616,#11606,CONTAINS_FACE
#11616,#11609,CONTAINS_FACE
#11616,#11612,CONTAINS_FACE
#11616,#11615,CONTAINS_FACE
#11693,#11623,CONTAINS_FACE
#11693,#11630,CONTAINS_FACE
#11693,#11633,CONTAINS_FACE
#11693,#11638,CONTAINS_FACE
#11693,#11643,CONTAINS_FACE
#11693,#11650,CONTAINS_FACE
#11693,#11653,CONTAINS_FACE
#11693,#11658,CONTAINS_FACE
#11693,#11663,CONTAINS_FACE
#11693,#11668,CONTAINS_FACE
#11693,#11673,CONTAINS_FACE
#11693,#11678,CONTAINS_FACE
#11693,#11683,CONTAINS_FACE
#11693,#11686,CONTAINS_FACE
#11693,#11689,CONTAINS_FACE
#11693,#11692,CONTAINS_FACE
#12180,#11710,CONTAINS_FACE
#12180,#11715,CONTAINS_FACE
#12180,#11720,CONTAINS_FACE
#12180,#11726,CONTAINS_FACE
#12180,#11729,CONTAINS_FACE
