:START_ID,:END_ID,:TYPE
#3983,#3982,FOR_LAYER_SET
#4027,#3982,FOR_LAYER_SET
#4071,#3982,FOR_LAYER_SET
#4115,#3982,FOR_LAYER_SET
#4203,#4202,FOR_LAYER_SET
#4248,#4202,FOR_LAYER_SET
#4361,#4360,FOR_LAYER_SET
#4427,#4360,FOR_LAYER_SET
#4492,#4360,FOR_LAYER_SET
#4537,#4202,FOR_LAYER_SET
#4582,#4202,FOR_LAYER_SET
#4627,#4202,FOR_LAYER_SET
#4802,#4801,FOR_LAYER_SET
#4852,#4801,FOR_LAYER_SET
#4902,#4801,FOR_LAYER_SET
#4952,#4801,FOR_LAYER_SET
#5041,#5040,FOR_LAYER_SET
#5090,#5040,FOR_LAYER_SET
#5140,#5040,FOR_LAYER_SET
#5245,#5244,FOR_LAYER_SET
#5299,#5244,FOR_LAYER_SET
#5426,#4360,FOR_LAYER_SET
#5476,#3982,FOR_LAYER_SET
#5526,#3982,FOR_LAYER_SET
#5576,#3982,FOR_LAYER_SET
#5626,#3982,FOR_LAYER_SET
#5671,#4202,FOR_LAYER_SET
#5715,#4202,FOR_LAYER_SET
#5759,#4202,FOR_LAYER_SET
#5843,#5842,FOR_LAYER_SET
#5887,#4202,FOR_LAYER_SET
#5932,#4202,FOR_LAYER_SET
#5976,#4202,FOR_LAYER_SET
#6020,#4202,FOR_LAYER_SET
#6064,#4202,FOR_LAYER_SET
#6108,#5842,FOR_LAYER_SET
#6223,#6222,FOR_LAYER_SET
#6279,#6222,FOR_LAYER_SET
#20881,#20880,FOR_LAYER_SET
#20936,#20880,FOR_LAYER_SET
#20991,#20880,FOR_LAYER_SET
#21046,#20880,FOR_LAYER_SET
#21113,#20880,FOR_LAYER_SET
#21180,#20880,FOR_LAYER_SET
#21321,#21320,FOR_LAYER_SET
#21369,#21320,FOR_LAYER_SET
#21434,#20880,FOR_LAYER_SET
#21482,#21320,FOR_LAYER_SET
#21530,#21320,FOR_LAYER_SET
#21578,#21320,FOR_LAYER_SET
#21643,#20880,FOR_LAYER_SET
#21691,#21320,FOR_LAYER_SET
#22647,#22646,FOR_LAYER_SET
#22692,#3982,FOR_LAYER_SET
#22737,#3982,FOR_LAYER_SET
#22782,#3982,FOR_LAYER_SET
#22827,#3982,FOR_LAYER_SET
#23675,#23674,FOR_LAYER_SET
#23769,#23674,FOR_LAYER_SET
#23827,#23674,FOR_LAYER_SET
#23885,#23674,FOR_LAYER_SET
#23993,#23674,FOR_LAYER_SET
#24061,#23674,FOR_LAYER_SET
#24129,#23674,FOR_LAYER_SET
#24187,#23674,FOR_LAYER_SET
#24269,#23674,FOR_LAYER_SET
#24327,#23674,FOR_LAYER_SET
#24409,#23674,FOR_LAYER_SET
#24477,#23674,FOR_LAYER_SET
#24545,#23674,FOR_LAYER_SET
#24664,#24663,FOR_LAYER_SET
#24707,#24663,FOR_LAYER_SET
#24752,#4202,FOR_LAYER_SET
#24797,#24663,FOR_LAYER_SET
#24842,#24663,FOR_LAYER_SET
#31460,#24663,FOR_LAYER_SET
#31505,#24663,FOR_LAYER_SET
#35227,#4202,FOR_LAYER_SET
#35385,#4202,FOR_LAYER_SET
#35481,#4202,FOR_LAYER_SET
#35526,#4202,FOR_LAYER_SET
#37849,#37848,FOR_LAYER_SET
#37897,#37848,FOR_LAYER_SET
#37954,#37953,FOR_LAYER_SET
#37999,#37953,FOR_LAYER_SET
#38044,#37953,FOR_LAYER_SET
#38089,#37953,FOR_LAYER_SET
#38134,#37953,FOR_LAYER_SET
#38179,#37953,FOR_LAYER_SET
#38224,#37953,FOR_LAYER_SET
#38269,#37953,FOR_LAYER_SET
