:START_ID,:END_ID,:TYPE
#67,#5267,HAS_BOUNDARY
#67,#21401,HAS_BOUNDARY
#67,#4043,HAS_BOUNDARY
#67,#21929,HAS_BOUNDARY
#67,#6531,HAS_BOUNDARY
#67,#4598,HAS_BOUNDARY
#67,#4087,HAS_BOUNDARY
#67,#7025,HAS_BOUNDARY
#212,#23992,HAS_BOUNDARY
#212,#5267,HAS_BOUNDARY
#212,#21449,HAS_BOUNDARY
#212,#4087,HAS_BOUNDARY
#212,#7025,HAS_BOUNDARY
#212,#4508,HAS_BOUNDARY
#212,#4553,HAS_BOUNDARY
#212,#24813,HAS_BOUNDARY
#355,#23884,HAS_BOUNDARY
#355,#5267,HAS_BOUNDARY
#355,#5267,HAS_BOUNDARY
#355,#21497,HAS_BOUNDARY
#355,#4287,HAS_BOUNDARY
#355,#24768,HAS_BOUNDARY
#355,#24768,HAS_BOUNDARY
#355,#4553,HAS_BOUNDARY
#355,#4508,HAS_BOUNDARY
#355,#8066,HAS_BOUNDARY
#514,#23992,HAS_BOUNDARY
#514,#5267,HAS_BOUNDARY
#514,#5267,HAS_BOUNDARY
#514,#5267,HAS_BOUNDARY
#514,#21401,HAS_BOUNDARY
#514,#3999,HAS_BOUNDARY
#514,#6652,HAS_BOUNDARY
#514,#4287,HAS_BOUNDARY
#514,#4508,HAS_BOUNDARY
#514,#8066,HAS_BOUNDARY
#514,#4508,HAS_BOUNDARY
#514,#4598,HAS_BOUNDARY
#514,#4043,HAS_BOUNDARY
#819,#6247,HAS_BOUNDARY
#819,#6247,HAS_BOUNDARY
#819,#6247,HAS_BOUNDARY
#819,#6247,HAS_BOUNDARY
#819,#21147,HAS_BOUNDARY
#819,#24268,HAS_BOUNDARY
#819,#5498,HAS_BOUNDARY
#819,#5992,HAS_BOUNDARY
#819,#16013,HAS_BOUNDARY
#819,#5948,HAS_BOUNDARY
#819,#5948,HAS_BOUNDARY
#819,#35413,HAS_BOUNDARY
#819,#5948,HAS_BOUNDARY
#819,#16115,HAS_BOUNDARY
#819,#35413,HAS_BOUNDARY
#819,#5948,HAS_BOUNDARY
#819,#5903,HAS_BOUNDARY
#819,#8386,HAS_BOUNDARY
#1059,#24186,HAS_BOUNDARY
#1059,#6247,HAS_BOUNDARY
#1059,#6247,HAS_BOUNDARY
#1059,#21336,HAS_BOUNDARY
#1059,#5948,HAS_BOUNDARY
#1059,#16115,HAS_BOUNDARY
#1059,#35413,HAS_BOUNDARY
#1059,#35357,HAS_BOUNDARY
#1059,#35413,HAS_BOUNDARY
#1059,#31431,HAS_BOUNDARY
#1059,#6080,HAS_BOUNDARY
#1218,#24544,HAS_BOUNDARY
#1218,#6247,HAS_BOUNDARY
#1218,#6247,HAS_BOUNDARY
#1218,#20958,HAS_BOUNDARY
#1218,#5399,HAS_BOUNDARY
#1218,#5399,HAS_BOUNDARY
#1218,#5548,HAS_BOUNDARY
#1218,#7847,HAS_BOUNDARY
#1218,#7795,HAS_BOUNDARY
#1218,#5498,HAS_BOUNDARY
#1218,#22396,HAS_BOUNDARY
#1218,#7847,HAS_BOUNDARY
#1218,#5903,HAS_BOUNDARY
#1218,#8386,HAS_BOUNDARY
#1218,#5903,HAS_BOUNDARY
#1218,#8386,HAS_BOUNDARY
#1218,#5948,HAS_BOUNDARY
#1218,#6080,HAS_BOUNDARY
#1218,#6080,HAS_BOUNDARY
#1442,#24128,HAS_BOUNDARY
#1442,#6247,HAS_BOUNDARY
#1442,#6247,HAS_BOUNDARY
#1442,#20903,HAS_BOUNDARY
#1442,#5399,HAS_BOUNDARY
#1442,#6036,HAS_BOUNDARY
#1442,#6036,HAS_BOUNDARY
#1442,#5948,HAS_BOUNDARY
#1442,#5992,HAS_BOUNDARY
#1442,#16013,HAS_BOUNDARY
#1442,#5498,HAS_BOUNDARY
#1442,#22188,HAS_BOUNDARY
#1442,#22344,HAS_BOUNDARY
#1442,#5448,HAS_BOUNDARY
#1442,#22188,HAS_BOUNDARY
#1627,#23671,HAS_BOUNDARY
#1627,#5165,HAS_BOUNDARY
#1627,#21610,HAS_BOUNDARY
#1627,#3797,HAS_BOUNDARY
#1627,#21821,HAS_BOUNDARY
#1627,#6426,HAS_BOUNDARY
#1627,#4131,HAS_BOUNDARY
#1627,#3999,HAS_BOUNDARY
#1627,#6921,HAS_BOUNDARY
#1782,#23671,HAS_BOUNDARY
#1782,#5165,HAS_BOUNDARY
