:START_ID,:END_ID,:TYPE
#509,#10,HAS_EXTRUDED_DIRECTION
#9546,#9545,HAS_EXTRUDED_DIRECTION
#9553,#9552,HAS_EXTRUDED_DIRECTION
#9560,#9559,HAS_EXTRUDED_DIRECTION
#9567,#9566,HAS_EXTRUDED_DIRECTION
#9574,#9573,HAS_EXTRUDED_DIRECTION
#9581,#9580,HAS_EXTRUDED_DIRECTION
#9588,#9587,HAS_EXTRUDED_DIRECTION
#9595,#9594,HAS_EXTRUDED_DIRECTION
#9602,#9601,HAS_EXTRUDED_DIRECTION
#9609,#9608,HAS_EXTRUDED_DIRECTION
#9616,#9615,HAS_EXTRUDED_DIRECTION
#9623,#9622,HAS_EXTRUDED_DIRECTION
#9630,#9629,HAS_EXTRUDED_DIRECTION
#9637,#9636,HAS_EXTRUDED_DIRECTION
#9644,#9643,HAS_EXTRUDED_DIRECTION
#9651,#9650,HAS_EXTRUDED_DIRECTION
#9658,#9657,HAS_EXTRUDED_DIRECTION
#9665,#9664,HAS_EXTRUDED_DIRECTION
#9672,#9671,HAS_EXTRUDED_DIRECTION
#9679,#9678,HAS_EXTRUDED_DIRECTION
#9686,#9685,HAS_EXTRUDED_DIRECTION
#9693,#9692,HAS_EXTRUDED_DIRECTION
#9700,#9699,HAS_EXTRUDED_DIRECTION
#9707,#9706,HAS_EXTRUDED_DIRECTION
#9714,#9713,HAS_EXTRUDED_DIRECTION
#9721,#9720,HAS_EXTRUDED_DIRECTION
#9728,#9727,HAS_EXTRUDED_DIRECTION
#9735,#9734,HAS_EXTRUDED_DIRECTION
#9742,#9741,HAS_EXTRUDED_DIRECTION
#9779,#9778,HAS_EXTRUDED_DIRECTION
#12255,#10,HAS_EXTRUDED_DIRECTION
#13015,#10,HAS_EXTRUDED_DIRECTION
#13724,#10,HAS_EXTRUDED_DIRECTION
#14433,#10,HAS_EXTRUDED_DIRECTION
#21720,#10,HAS_EXTRUDED_DIRECTION
#21736,#10,HAS_EXTRUDED_DIRECTION
#32525,#32524,HAS_EXTRUDED_DIRECTION
#32532,#32531,HAS_EXTRUDED_DIRECTION
#32539,#32538,HAS_EXTRUDED_DIRECTION
#32546,#32545,HAS_EXTRUDED_DIRECTION
#32553,#32552,HAS_EXTRUDED_DIRECTION
#32560,#32559,HAS_EXTRUDED_DIRECTION
#32567,#32566,HAS_EXTRUDED_DIRECTION
#32574,#32573,HAS_EXTRUDED_DIRECTION
#32581,#32580,HAS_EXTRUDED_DIRECTION
#32588,#32587,HAS_EXTRUDED_DIRECTION
#32595,#32594,HAS_EXTRUDED_DIRECTION
#32602,#32601,HAS_EXTRUDED_DIRECTION
#32609,#32608,HAS_EXTRUDED_DIRECTION
#32616,#32615,HAS_EXTRUDED_DIRECTION
#32623,#32622,HAS_EXTRUDED_DIRECTION
#32630,#32629,HAS_EXTRUDED_DIRECTION
#32637,#32636,HAS_EXTRUDED_DIRECTION
#32644,#32643,HAS_EXTRUDED_DIRECTION
#32651,#32650,HAS_EXTRUDED_DIRECTION
#32658,#32657,HAS_EXTRUDED_DIRECTION
#32665,#32664,HAS_EXTRUDED_DIRECTION
#32672,#32671,HAS_EXTRUDED_DIRECTION
#32679,#32678,HAS_EXTRUDED_DIRECTION
#32686,#32685,HAS_EXTRUDED_DIRECTION
#32693,#32692,HAS_EXTRUDED_DIRECTION
#32700,#32699,HAS_EXTRUDED_DIRECTION
#32707,#32706,HAS_EXTRUDED_DIRECTION
#32714,#32713,HAS_EXTRUDED_DIRECTION
#32721,#32720,HAS_EXTRUDED_DIRECTION
#32758,#32757,HAS_EXTRUDED_DIRECTION
#36678,#9,HAS_EXTRUDED_DIRECTION
#36887,#10,HAS_EXTRUDED_DIRECTION
#37060,#9,HAS_EXTRUDED_DIRECTION
#37190,#10,HAS_EXTRUDED_DIRECTION
#37320,#10,HAS_EXTRUDED_DIRECTION
#37451,#9,HAS_EXTRUDED_DIRECTION
#37581,#10,HAS_EXTRUDED_DIRECTION
#37711,#9,HAS_EXTRUDED_DIRECTION
#37772,#9,HAS_EXTRUDED_DIRECTION
#37859,#9,HAS_EXTRUDED_DIRECTION
#37908,#9,HAS_EXTRUDED_DIRECTION
#37965,#9,HAS_EXTRUDED_DIRECTION
#38010,#9,HAS_EXTRUDED_DIRECTION
#38055,#9,HAS_EXTRUDED_DIRECTION
#38100,#9,HAS_EXTRUDED_DIRECTION
#38145,#9,HAS_EXTRUDED_DIRECTION
#38190,#9,HAS_EXTRUDED_DIRECTION
#38235,#9,HAS_EXTRUDED_DIRECTION
