:START_ID,:END_ID,:TYPE
#45,#44,HAS_LOCATION
#58,#57,HAS_LOCATION
#76,#71,HAS_LOCATION
#87,#80,HAS_LOCATION
#110,#109,HAS_LOCATION
#156,#155,HAS_LOCATION
#206,#205,HAS_LOCATION
#225,#216,HAS_LOCATION
#238,#229,HAS_LOCATION
#248,#242,HAS_LOCATION
#264,#263,HAS_LOCATION
#349,#348,HAS_LOCATION
#366,#359,HAS_LOCATION
#380,#370,HAS_LOCATION
#388,#383,HAS_LOCATION
#400,#393,HAS_LOCATION
#508,#507,HAS_LOCATION
#537,#518,HAS_LOCATION
#547,#541,HAS_LOCATION
#555,#550,HAS_LOCATION
#563,#558,HAS_LOCATION
#589,#569,HAS_LOCATION
#828,#823,HAS_LOCATION
#840,#831,HAS_LOCATION
#851,#843,HAS_LOCATION
#861,#854,HAS_LOCATION
#887,#868,HAS_LOCATION
#898,#891,HAS_LOCATION
#1053,#1052,HAS_LOCATION
#1070,#1063,HAS_LOCATION
#1079,#1074,HAS_LOCATION
#1091,#1082,HAS_LOCATION
#1103,#1096,HAS_LOCATION
#1212,#1211,HAS_LOCATION
#1231,#1222,HAS_LOCATION
#1245,#1235,HAS_LOCATION
#1254,#1248,HAS_LOCATION
#1268,#1259,HAS_LOCATION
#1298,#1297,HAS_LOCATION
#1306,#1305,HAS_LOCATION
#1321,#1320,HAS_LOCATION
#1329,#1328,HAS_LOCATION
#1436,#1435,HAS_LOCATION
#1455,#1446,HAS_LOCATION
#1464,#1459,HAS_LOCATION
#1477,#1467,HAS_LOCATION
#1491,#1482,HAS_LOCATION
#1549,#1548,HAS_LOCATION
#1557,#1556,HAS_LOCATION
#1572,#1571,HAS_LOCATION
#1621,#1620,HAS_LOCATION
#1638,#1631,HAS_LOCATION
#1647,#1642,HAS_LOCATION
#1658,#1651,HAS_LOCATION
#1681,#1680,HAS_LOCATION
#1727,#1726,HAS_LOCATION
#1776,#1775,HAS_LOCATION
#1797,#1786,HAS_LOCATION
#1810,#1801,HAS_LOCATION
#1820,#1814,HAS_LOCATION
#1836,#1835,HAS_LOCATION
#1922,#1921,HAS_LOCATION
#1938,#1932,HAS_LOCATION
#1949,#1942,HAS_LOCATION
#1960,#1953,HAS_LOCATION
#1974,#1964,HAS_LOCATION
#1982,#1977,HAS_LOCATION
#1994,#1987,HAS_LOCATION
#2102,#2101,HAS_LOCATION
#2130,#2112,HAS_LOCATION
#2140,#2134,HAS_LOCATION
#2148,#2143,HAS_LOCATION
#2156,#2151,HAS_LOCATION
#2182,#2162,HAS_LOCATION
#2421,#2416,HAS_LOCATION
#2433,#2424,HAS_LOCATION
#2444,#2436,HAS_LOCATION
#2454,#2447,HAS_LOCATION
#2480,#2461,HAS_LOCATION
#2491,#2484,HAS_LOCATION
#2631,#2630,HAS_LOCATION
#2648,#2641,HAS_LOCATION
#2661,#2652,HAS_LOCATION
#2669,#2664,HAS_LOCATION
