:START_ID,:END_ID,:TYPE
#3982,#3892,HAS_MATERIAL_LAYER
#3982,#3901,HAS_MATERIAL_LAYER
#3982,#3916,HAS_MATERIAL_LAYER
#3982,#3931,HAS_MATERIAL_LAYER
#3982,#3940,HAS_MATERIAL_LAYER
#3982,#3981,HAS_MATERIAL_LAYER
#4202,#4199,HAS_MATERIAL_LAYER
#4202,#4200,HAS_MATERIAL_LAYER
#4202,#4201,HAS_MATERIAL_LAYER
#4360,#4353,HAS_MATERIAL_LAYER
#4360,#4354,HAS_MATERIAL_LAYER
#4360,#4355,HAS_MATERIAL_LAYER
#4360,#4356,HAS_MATERIAL_LAYER
#4360,#4357,HAS_MATERIAL_LAYER
#4360,#4358,HAS_MATERIAL_LAYER
#4360,#4359,HAS_MATERIAL_LAYER
#4801,#4800,HAS_MATERIAL_LAYER
#5040,#5039,HAS_MATERIAL_LAYER
#5244,#5243,HAS_MATERIAL_LAYER
#5842,#5839,HAS_MATERIAL_LAYER
#5842,#5840,HAS_MATERIAL_LAYER
#5842,#5841,HAS_MATERIAL_LAYER
#6222,#6212,HAS_MATERIAL_LAYER
#6222,#6221,HAS_MATERIAL_LAYER
#20880,#20870,HAS_MATERIAL_LAYER
#20880,#20879,HAS_MATERIAL_LAYER
#21320,#21278,HAS_MATERIAL_LAYER
#21320,#21319,HAS_MATERIAL_LAYER
#22646,#22624,HAS_MATERIAL_LAYER
#22646,#22633,HAS_MATERIAL_LAYER
#22646,#22642,HAS_MATERIAL_LAYER
#22646,#22643,HAS_MATERIAL_LAYER
#22646,#22644,HAS_MATERIAL_LAYER
#22646,#22645,HAS_MATERIAL_LAYER
#23674,#23672,HAS_MATERIAL_LAYER
#23674,#23673,HAS_MATERIAL_LAYER
#24663,#24661,HAS_MATERIAL_LAYER
#24663,#24662,HAS_MATERIAL_LAYER
#37848,#37847,HAS_MATERIAL_LAYER
#37953,#37951,HAS_MATERIAL_LAYER
#37953,#37952,HAS_MATERIAL_LAYER
