:START_ID,:END_ID,:TYPE
#59,#58,HAS_POSITION
#207,#206,HAS_POSITION
#350,#349,HAS_POSITION
#509,#508,HAS_POSITION
#1054,#1053,HAS_POSITION
#1213,#1212,HAS_POSITION
#1437,#1436,HAS_POSITION
#1622,#1621,HAS_POSITION
#1777,#1776,HAS_POSITION
#1923,#1922,HAS_POSITION
#2103,#2102,HAS_POSITION
#2632,#2631,HAS_POSITION
#2784,#2783,HAS_POSITION
#3008,#3007,HAS_POSITION
#3192,#3191,HAS_POSITION
#3320,#3319,HAS_POSITION
#3451,#3450,HAS_POSITION
#3581,#3580,HAS_POSITION
#3702,#3701,HAS_POSITION
#3789,#3788,HAS_POSITION
#3994,#3993,HAS_POSITION
#4038,#4037,HAS_POSITION
#4082,#4081,HAS_POSITION
#4126,#4125,HAS_POSITION
#4214,#4213,HAS_POSITION
#4259,#4258,HAS_POSITION
#4372,#4371,HAS_POSITION
#4438,#4437,HAS_POSITION
#4503,#4502,HAS_POSITION
#4548,#4547,HAS_POSITION
#4593,#4592,HAS_POSITION
#4638,#4637,HAS_POSITION
#4813,#4812,HAS_POSITION
#4863,#4862,HAS_POSITION
#4913,#4912,HAS_POSITION
#4963,#4962,HAS_POSITION
#5052,#5051,HAS_POSITION
#5101,#5100,HAS_POSITION
#5157,#5156,HAS_POSITION
#5262,#5261,HAS_POSITION
#5310,#5309,HAS_POSITION
#5443,#5442,HAS_POSITION
#5493,#5492,HAS_POSITION
#5543,#5542,HAS_POSITION
#5593,#5592,HAS_POSITION
#5637,#5636,HAS_POSITION
#5682,#5681,HAS_POSITION
#5726,#5725,HAS_POSITION
#5770,#5769,HAS_POSITION
#5854,#5853,HAS_POSITION
#5898,#5897,HAS_POSITION
#5943,#5942,HAS_POSITION
#5987,#5986,HAS_POSITION
#6031,#6030,HAS_POSITION
#6075,#6074,HAS_POSITION
#6127,#6126,HAS_POSITION
#6242,#6241,HAS_POSITION
#6287,#6286,HAS_POSITION
#6299,#6298,HAS_POSITION
#6320,#6319,HAS_POSITION
#6341,#6340,HAS_POSITION
#6359,#6358,HAS_POSITION
#6511,#6510,HAS_POSITION
#6563,#6562,HAS_POSITION
#6584,#6583,HAS_POSITION
#6603,#6602,HAS_POSITION
#6610,#6609,HAS_POSITION
#6737,#6736,HAS_POSITION
#6788,#6787,HAS_POSITION
#6800,#6799,HAS_POSITION
#6818,#6817,HAS_POSITION
#6836,#6835,HAS_POSITION
#6854,#6853,HAS_POSITION
#7005,#7004,HAS_POSITION
#7057,#7056,HAS_POSITION
#7069,#7068,HAS_POSITION
#7087,#7086,HAS_POSITION
#7105,#7104,HAS_POSITION
#7123,#7122,HAS_POSITION
#7274,#7273,HAS_POSITION
#7286,#7285,HAS_POSITION
#7304,#7303,HAS_POSITION
#7322,#7321,HAS_POSITION
#7340,#7339,HAS_POSITION
#7491,#7490,HAS_POSITION
#7503,#7502,HAS_POSITION
#7521,#7520,HAS_POSITION
#7539,#7538,HAS_POSITION
#7560,#7559,HAS_POSITION
#7723,#7722,HAS_POSITION
#7775,#7774,HAS_POSITION
#7827,#7826,HAS_POSITION
#7879,#7878,HAS_POSITION
#7931,#7930,HAS_POSITION
#7983,#7982,HAS_POSITION
#8004,#8003,HAS_POSITION
#8020,#8019,HAS_POSITION
#8027,#8026,HAS_POSITION
#8149,#8148,HAS_POSITION
#8200,#8199,HAS_POSITION
#8221,#8220,HAS_POSITION
#8237,#8236,HAS_POSITION
#8244,#8243,HAS_POSITION
#8366,#8365,HAS_POSITION
#8457,#8456,HAS_POSITION
#8488,#8487,HAS_POSITION
#8516,#8515,HAS_POSITION
#8544,#8543,HAS_POSITION
#8572,#8571,HAS_POSITION
#8600,#8599,HAS_POSITION
#8628,#8627,HAS_POSITION
#8656,#8655,HAS_POSITION
#8684,#8683,HAS_POSITION
#8712,#8711,HAS_POSITION
#8740,#8739,HAS_POSITION
#8768,#8767,HAS_POSITION
#8796,#8795,HAS_POSITION
#8824,#8823,HAS_POSITION
#8852,#8851,HAS_POSITION
#8859,#8858,HAS_POSITION
#8866,#8865,HAS_POSITION
#8873,#8872,HAS_POSITION
#8880,#8879,HAS_POSITION
#8887,#8886,HAS_POSITION
#8894,#8893,HAS_POSITION
#8901,#8900,HAS_POSITION
#8908,#8907,HAS_POSITION
#8915,#8914,HAS_POSITION
#8922,#8921,HAS_POSITION
