:START_ID,:END_ID,:TYPE
#67,#69,HAS_PROPERTIES
#67,#163,HAS_PROPERTIES
#67,#190,HAS_PROPERTIES
#67,#192,HAS_PROPERTIES
#67,#194,HAS_PROPERTIES
#67,#196,HAS_PROPERTIES
#67,#198,HAS_PROPERTIES
#212,#214,HAS_PROPERTIES
#212,#308,HAS_PROPERTIES
#212,#334,HAS_PROPERTIES
#212,#336,HAS_PROPERTIES
#212,#338,HAS_PROPERTIES
#212,#340,HAS_PROPERTIES
#212,#342,HAS_PROPERTIES
#355,#357,HAS_PROPERTIES
#355,#450,HAS_PROPERTIES
#355,#476,HAS_PROPERTIES
#355,#478,HAS_PROPERTIES
#355,#480,HAS_PROPERTIES
#355,#482,HAS_PROPERTIES
#355,#484,HAS_PROPERTIES
#514,#516,HAS_PROPERTIES
#514,#693,HAS_PROPERTIES
#514,#719,HAS_PROPERTIES
#514,#721,HAS_PROPERTIES
#514,#723,HAS_PROPERTIES
#514,#725,HAS_PROPERTIES
#514,#727,HAS_PROPERTIES
#819,#821,HAS_PROPERTIES
#819,#1012,HAS_PROPERTIES
#819,#1038,HAS_PROPERTIES
#819,#1040,HAS_PROPERTIES
#819,#1042,HAS_PROPERTIES
#819,#1044,HAS_PROPERTIES
#819,#1046,HAS_PROPERTIES
#1059,#1061,HAS_PROPERTIES
#1059,#1160,HAS_PROPERTIES
#1059,#1186,HAS_PROPERTIES
#1059,#1188,HAS_PROPERTIES
#1059,#1190,HAS_PROPERTIES
#1059,#1192,HAS_PROPERTIES
#1059,#1194,HAS_PROPERTIES
#1218,#1220,HAS_PROPERTIES
#1218,#1385,HAS_PROPERTIES
#1218,#1411,HAS_PROPERTIES
#1218,#1413,HAS_PROPERTIES
#1218,#1415,HAS_PROPERTIES
#1218,#1417,HAS_PROPERTIES
#1218,#1419,HAS_PROPERTIES
#1442,#1444,HAS_PROPERTIES
#1442,#1579,HAS_PROPERTIES
#1442,#1605,HAS_PROPERTIES
#1442,#1607,HAS_PROPERTIES
#1442,#1609,HAS_PROPERTIES
#1442,#1611,HAS_PROPERTIES
#1442,#1613,HAS_PROPERTIES
#1627,#1629,HAS_PROPERTIES
#1627,#1734,HAS_PROPERTIES
#1627,#1760,HAS_PROPERTIES
#1627,#1762,HAS_PROPERTIES
#1627,#1764,HAS_PROPERTIES
#1627,#1766,HAS_PROPERTIES
#1627,#1768,HAS_PROPERTIES
#1782,#1784,HAS_PROPERTIES
#1782,#1880,HAS_PROPERTIES
#1782,#1906,HAS_PROPERTIES
#1782,#1908,HAS_PROPERTIES
#1782,#1910,HAS_PROPERTIES
#1782,#1912,HAS_PROPERTIES
#1782,#1914,HAS_PROPERTIES
#1928,#1930,HAS_PROPERTIES
#1928,#2044,HAS_PROPERTIES
#1928,#2070,HAS_PROPERTIES
#1928,#2072,HAS_PROPERTIES
#1928,#2074,HAS_PROPERTIES
#1928,#2076,HAS_PROPERTIES
#1928,#2078,HAS_PROPERTIES
#2108,#2110,HAS_PROPERTIES
#2108,#2286,HAS_PROPERTIES
#2108,#2312,HAS_PROPERTIES
#2108,#2314,HAS_PROPERTIES
#2108,#2316,HAS_PROPERTIES
#2108,#2318,HAS_PROPERTIES
#2108,#2320,HAS_PROPERTIES
#2412,#2414,HAS_PROPERTIES
#2412,#2591,HAS_PROPERTIES
#2412,#2616,HAS_PROPERTIES
#2412,#2618,HAS_PROPERTIES
#2412,#2620,HAS_PROPERTIES
#2412,#2622,HAS_PROPERTIES
#2412,#2624,HAS_PROPERTIES
#2637,#2639,HAS_PROPERTIES
#2637,#2731,HAS_PROPERTIES
#2637,#2757,HAS_PROPERTIES
#2637,#2759,HAS_PROPERTIES
#2637,#2761,HAS_PROPERTIES
#2637,#2763,HAS_PROPERTIES
#2637,#2765,HAS_PROPERTIES
#2789,#2791,HAS_PROPERTIES
#2789,#2956,HAS_PROPERTIES
#2789,#2982,HAS_PROPERTIES
#2789,#2984,HAS_PROPERTIES
#2789,#2986,HAS_PROPERTIES
#2789,#2988,HAS_PROPERTIES
#2789,#2990,HAS_PROPERTIES
#3013,#3015,HAS_PROPERTIES
#3013,#3150,HAS_PROPERTIES
#3013,#3176,HAS_PROPERTIES
#3013,#3178,HAS_PROPERTIES
#3013,#3180,HAS_PROPERTIES
#3013,#3182,HAS_PROPERTIES
#3013,#3184,HAS_PROPERTIES
#3197,#3199,HAS_PROPERTIES
#3197,#3278,HAS_PROPERTIES
#3197,#3304,HAS_PROPERTIES
#3197,#3306,HAS_PROPERTIES
#3197,#3308,HAS_PROPERTIES
#3197,#3310,HAS_PROPERTIES
#3197,#3312,HAS_PROPERTIES
#3325,#3327,HAS_PROPERTIES
#3325,#3399,HAS_PROPERTIES
#3325,#3425,HAS_PROPERTIES
#3325,#3427,HAS_PROPERTIES
#3325,#3429,HAS_PROPERTIES
#3325,#3431,HAS_PROPERTIES
#3325,#3433,HAS_PROPERTIES
#3456,#3458,HAS_PROPERTIES
#3456,#3530,HAS_PROPERTIES
#3456,#3556,HAS_PROPERTIES
#3456,#3558,HAS_PROPERTIES
#3456,#3560,HAS_PROPERTIES
#3456,#3562,HAS_PROPERTIES
#3456,#3564,HAS_PROPERTIES
#3586,#3588,HAS_PROPERTIES
#3586,#3660,HAS_PROPERTIES
#3586,#3686,HAS_PROPERTIES
#3586,#3688,HAS_PROPERTIES
#3586,#3690,HAS_PROPERTIES
#3586,#3692,HAS_PROPERTIES
#3586,#3694,HAS_PROPERTIES
#3707,#3709,HAS_PROPERTIES
#3707,#3743,HAS_PROPERTIES
#3707,#3769,HAS_PROPERTIES
#3707,#3771,HAS_PROPERTIES
#3707,#3773,HAS_PROPERTIES
#3707,#3775,HAS_PROPERTIES
#3707,#3777,HAS_PROPERTIES
#3797,#3802,HAS_PROPERTIES
#3797,#3862,HAS_PROPERTIES
#3797,#3864,HAS_PROPERTIES
#3797,#3866,HAS_PROPERTIES
#3797,#3868,HAS_PROPERTIES
#3797,#3870,HAS_PROPERTIES
#3999,#4001,HAS_PROPERTIES
#3999,#4017,HAS_PROPERTIES
#3999,#4019,HAS_PROPERTIES
#3999,#4021,HAS_PROPERTIES
#3999,#4023,HAS_PROPERTIES
#3999,#4025,HAS_PROPERTIES
#4043,#4045,HAS_PROPERTIES
#4043,#4061,HAS_PROPERTIES
#4043,#4063,HAS_PROPERTIES
#4043,#4065,HAS_PROPERTIES
#4043,#4067,HAS_PROPERTIES
#4043,#4069,HAS_PROPERTIES
#4087,#4089,HAS_PROPERTIES
#4087,#4105,HAS_PROPERTIES
#4087,#4107,HAS_PROPERTIES
#4087,#4109,HAS_PROPERTIES
#4087,#4111,HAS_PROPERTIES
#4087,#4113,HAS_PROPERTIES
#4131,#4134,HAS_PROPERTIES
#4131,#4185,HAS_PROPERTIES
#4131,#4187,HAS_PROPERTIES
#4131,#4189,HAS_PROPERTIES
#4131,#4191,HAS_PROPERTIES
#4131,#4193,HAS_PROPERTIES
#4219,#4221,HAS_PROPERTIES
#4219,#4238,HAS_PROPERTIES
#4219,#4240,HAS_PROPERTIES
#4219,#4242,HAS_PROPERTIES
#4219,#4244,HAS_PROPERTIES
#4219,#4246,HAS_PROPERTIES
#4287,#4289,HAS_PROPERTIES
#4287,#4339,HAS_PROPERTIES
#4287,#4341,HAS_PROPERTIES
#4287,#4343,HAS_PROPERTIES
#4287,#4345,HAS_PROPERTIES
#4287,#4347,HAS_PROPERTIES
#4399,#4401,HAS_PROPERTIES
#4399,#4417,HAS_PROPERTIES
#4399,#4419,HAS_PROPERTIES
#4399,#4421,HAS_PROPERTIES
#4399,#4423,HAS_PROPERTIES
#4399,#4425,HAS_PROPERTIES
#4465,#4467,HAS_PROPERTIES
#4465,#4482,HAS_PROPERTIES
#4465,#4484,HAS_PROPERTIES
#4465,#4486,HAS_PROPERTIES
#4465,#4488,HAS_PROPERTIES
#4465,#4490,HAS_PROPERTIES
#4508,#4510,HAS_PROPERTIES
#4508,#4527,HAS_PROPERTIES
#4508,#4529,HAS_PROPERTIES
#4508,#4531,HAS_PROPERTIES
#4508,#4533,HAS_PROPERTIES
#4508,#4535,HAS_PROPERTIES
#4553,#4555,HAS_PROPERTIES
#4553,#4572,HAS_PROPERTIES
#4553,#4574,HAS_PROPERTIES
#4553,#4576,HAS_PROPERTIES
#4553,#4578,HAS_PROPERTIES
#4553,#4580,HAS_PROPERTIES
#4598,#4600,HAS_PROPERTIES
#4598,#4617,HAS_PROPERTIES
