:START_ID,:END_ID,:TYPE
#87,#5,HAS_REF_DIRECTION
#225,#5,HAS_REF_DIRECTION
#380,#5,HAS_REF_DIRECTION
#555,#5,HAS_REF_DIRECTION
#1070,#5,HAS_REF_DIRECTION
#1254,#5,HAS_REF_DIRECTION
#1938,#5,HAS_REF_DIRECTION
#2156,#5,HAS_REF_DIRECTION
#2421,#5,HAS_REF_DIRECTION
#2480,#5,HAS_REF_DIRECTION
#2802,#5,HAS_REF_DIRECTION
#3048,#5,HAS_REF_DIRECTION
#3347,#5,HAS_REF_DIRECTION
#3483,#5,HAS_REF_DIRECTION
#3580,#10,HAS_REF_DIRECTION
#4446,#5,HAS_REF_DIRECTION
#4449,#5,HAS_REF_DIRECTION
#6319,#5,HAS_REF_DIRECTION
#6340,#5,HAS_REF_DIRECTION
#6358,#5,HAS_REF_DIRECTION
#6583,#5,HAS_REF_DIRECTION
#6602,#10,HAS_REF_DIRECTION
#6817,#5,HAS_REF_DIRECTION
#6835,#5,HAS_REF_DIRECTION
#6853,#5,HAS_REF_DIRECTION
#7086,#5,HAS_REF_DIRECTION
#7104,#5,HAS_REF_DIRECTION
#7122,#5,HAS_REF_DIRECTION
#7303,#5,HAS_REF_DIRECTION
#7321,#5,HAS_REF_DIRECTION
#7339,#5,HAS_REF_DIRECTION
#7520,#5,HAS_REF_DIRECTION
#7538,#5,HAS_REF_DIRECTION
#7559,#10,HAS_REF_DIRECTION
#8019,#10,HAS_REF_DIRECTION
#8220,#5,HAS_REF_DIRECTION
#8236,#10,HAS_REF_DIRECTION
#9538,#10,HAS_REF_DIRECTION
#9544,#5,HAS_REF_DIRECTION
#9551,#5,HAS_REF_DIRECTION
#9558,#5,HAS_REF_DIRECTION
#9565,#5,HAS_REF_DIRECTION
#9572,#5,HAS_REF_DIRECTION
#9579,#5,HAS_REF_DIRECTION
#9586,#5,HAS_REF_DIRECTION
#9593,#5,HAS_REF_DIRECTION
#9600,#5,HAS_REF_DIRECTION
#9607,#5,HAS_REF_DIRECTION
#9614,#5,HAS_REF_DIRECTION
#9621,#5,HAS_REF_DIRECTION
#9628,#5,HAS_REF_DIRECTION
#9635,#5,HAS_REF_DIRECTION
#9642,#5,HAS_REF_DIRECTION
#9649,#5,HAS_REF_DIRECTION
#9656,#5,HAS_REF_DIRECTION
#9663,#5,HAS_REF_DIRECTION
#9670,#5,HAS_REF_DIRECTION
#9677,#5,HAS_REF_DIRECTION
#9684,#5,HAS_REF_DIRECTION
#9691,#5,HAS_REF_DIRECTION
#9698,#5,HAS_REF_DIRECTION
#9705,#5,HAS_REF_DIRECTION
#9712,#5,HAS_REF_DIRECTION
#9719,#5,HAS_REF_DIRECTION
#9726,#5,HAS_REF_DIRECTION
#9733,#5,HAS_REF_DIRECTION
#9740,#5,HAS_REF_DIRECTION
#9777,#9776,HAS_REF_DIRECTION
#12578,#10,HAS_REF_DIRECTION
#12980,#10,HAS_REF_DIRECTION
#13335,#10,HAS_REF_DIRECTION
#13689,#10,HAS_REF_DIRECTION
#14044,#10,HAS_REF_DIRECTION
#14398,#10,HAS_REF_DIRECTION
#14753,#10,HAS_REF_DIRECTION
#15107,#10,HAS_REF_DIRECTION
#15915,#10,HAS_REF_DIRECTION
#21719,#5,HAS_REF_DIRECTION
#21735,#5,HAS_REF_DIRECTION
#21760,#10,HAS_REF_DIRECTION
#31552,#10,HAS_REF_DIRECTION
#31580,#10,HAS_REF_DIRECTION
#31608,#10,HAS_REF_DIRECTION
#31636,#10,HAS_REF_DIRECTION
#31664,#10,HAS_REF_DIRECTION
#31692,#10,HAS_REF_DIRECTION
#31720,#10,HAS_REF_DIRECTION
#31748,#10,HAS_REF_DIRECTION
#31776,#10,HAS_REF_DIRECTION
#31804,#10,HAS_REF_DIRECTION
#31832,#10,HAS_REF_DIRECTION
#31860,#10,HAS_REF_DIRECTION
#31888,#10,HAS_REF_DIRECTION
#31916,#10,HAS_REF_DIRECTION
#31944,#10,HAS_REF_DIRECTION
#32089,#32088,HAS_REF_DIRECTION
#32108,#32107,HAS_REF_DIRECTION
#32756,#32755,HAS_REF_DIRECTION
#35255,#5,HAS_REF_DIRECTION
#35271,#10,HAS_REF_DIRECTION
#35185,#6,HAS_REF_DIRECTION
#36146,#8,HAS_REF_DIRECTION
#36149,#8,HAS_REF_DIRECTION
#36418,#7,HAS_REF_DIRECTION
#36421,#7,HAS_REF_DIRECTION
#36604,#6,HAS_REF_DIRECTION
#36677,#10,HAS_REF_DIRECTION
#36813,#8,HAS_REF_DIRECTION
#36886,#5,HAS_REF_DIRECTION
#36986,#6,HAS_REF_DIRECTION
#37059,#10,HAS_REF_DIRECTION
#37116,#8,HAS_REF_DIRECTION
#37189,#5,HAS_REF_DIRECTION
#37319,#5,HAS_REF_DIRECTION
#37377,#7,HAS_REF_DIRECTION
#37450,#10,HAS_REF_DIRECTION
#37580,#5,HAS_REF_DIRECTION
#37637,#7,HAS_REF_DIRECTION
#37710,#10,HAS_REF_DIRECTION
#37771,#6,HAS_REF_DIRECTION
#37858,#6,HAS_REF_DIRECTION
#37956,#7,HAS_REF_DIRECTION
#38001,#6,HAS_REF_DIRECTION
#38046,#8,HAS_REF_DIRECTION
#38136,#7,HAS_REF_DIRECTION
#38181,#6,HAS_REF_DIRECTION
#38226,#8,HAS_REF_DIRECTION
