:START_ID,:END_ID,:TYPE
#64,#63,HAS_STYLES
#209,#208,HAS_STYLES
#352,#351,HAS_STYLES
#511,#510,HAS_STYLES
#1056,#1055,HAS_STYLES
#1215,#1214,HAS_STYLES
#1439,#1438,HAS_STYLES
#1624,#1623,HAS_STYLES
#1779,#1778,HAS_STYLES
#1925,#1924,HAS_STYLES
#2105,#2104,HAS_STYLES
#2634,#2633,HAS_STYLES
#2786,#2785,HAS_STYLES
#3010,#3009,HAS_STYLES
#3194,#3193,HAS_STYLES
#3322,#3321,HAS_STYLES
#3453,#3452,HAS_STYLES
#3583,#3582,HAS_STYLES
#3704,#3703,HAS_STYLES
#3794,#3793,HAS_STYLES
#3889,#3888,HAS_STYLES
#3898,#3897,HAS_STYLES
#3913,#3912,HAS_STYLES
#3928,#3927,HAS_STYLES
#3937,#3936,HAS_STYLES
#3978,#3977,HAS_STYLES
#3996,#3995,HAS_STYLES
#4040,#4039,HAS_STYLES
#4084,#4083,HAS_STYLES
#4128,#4127,HAS_STYLES
#4216,#4215,HAS_STYLES
#4261,#4260,HAS_STYLES
#4374,#4373,HAS_STYLES
#4440,#4439,HAS_STYLES
#4505,#4504,HAS_STYLES
#4550,#4549,HAS_STYLES
#4595,#4594,HAS_STYLES
#4640,#4639,HAS_STYLES
#4797,#4796,HAS_STYLES
#4815,#4814,HAS_STYLES
#4865,#4864,HAS_STYLES
#4915,#4914,HAS_STYLES
#4965,#4964,HAS_STYLES
#5054,#5053,HAS_STYLES
#5103,#5102,HAS_STYLES
#5162,#5161,HAS_STYLES
#5240,#5239,HAS_STYLES
#5264,#5263,HAS_STYLES
#5312,#5311,HAS_STYLES
#5445,#5444,HAS_STYLES
#5495,#5494,HAS_STYLES
#5545,#5544,HAS_STYLES
#5595,#5594,HAS_STYLES
#5639,#5638,HAS_STYLES
#5684,#5683,HAS_STYLES
#5728,#5727,HAS_STYLES
#5772,#5771,HAS_STYLES
#5856,#5855,HAS_STYLES
#5900,#5899,HAS_STYLES
#5945,#5944,HAS_STYLES
#5989,#5988,HAS_STYLES
#6033,#6032,HAS_STYLES
#6077,#6076,HAS_STYLES
#6129,#6128,HAS_STYLES
#6209,#6208,HAS_STYLES
#6218,#6217,HAS_STYLES
#6244,#6243,HAS_STYLES
#6304,#6303,HAS_STYLES
#6325,#6324,HAS_STYLES
#6343,#6342,HAS_STYLES
#6361,#6360,HAS_STYLES
#6589,#6588,HAS_STYLES
#6605,#6604,HAS_STYLES
#6615,#6614,HAS_STYLES
#6802,#6801,HAS_STYLES
#6820,#6819,HAS_STYLES
#6838,#6837,HAS_STYLES
#6856,#6855,HAS_STYLES
#7071,#7070,HAS_STYLES
#7089,#7088,HAS_STYLES
#7107,#7106,HAS_STYLES
#7125,#7124,HAS_STYLES
#7288,#7287,HAS_STYLES
#7306,#7305,HAS_STYLES
#7324,#7323,HAS_STYLES
#7342,#7341,HAS_STYLES
#7505,#7504,HAS_STYLES
#7523,#7522,HAS_STYLES
#7544,#7543,HAS_STYLES
#7562,#7561,HAS_STYLES
#8006,#8005,HAS_STYLES
#8022,#8021,HAS_STYLES
#8029,#8028,HAS_STYLES
#8223,#8222,HAS_STYLES
#8239,#8238,HAS_STYLES
#8246,#8245,HAS_STYLES
#8462,#8461,HAS_STYLES
#8490,#8489,HAS_STYLES
#8518,#8517,HAS_STYLES
#8546,#8545,HAS_STYLES
#8574,#8573,HAS_STYLES
#8602,#8601,HAS_STYLES
#8630,#8629,HAS_STYLES
#8658,#8657,HAS_STYLES
#8686,#8685,HAS_STYLES
#8714,#8713,HAS_STYLES
#8742,#8741,HAS_STYLES
#8770,#8769,HAS_STYLES
