:START_ID,:END_ID,:TYPE
#59,#56,HAS_SWEPT_AREA
#207,#204,HAS_SWEPT_AREA
#350,#347,HAS_SWEPT_AREA
#509,#506,HAS_SWEPT_AREA
#1054,#1051,HAS_SWEPT_AREA
#1213,#1210,HAS_SWEPT_AREA
#1437,#1434,HAS_SWEPT_AREA
#1622,#1619,HAS_SWEPT_AREA
#1777,#1774,HAS_SWEPT_AREA
#1923,#1920,HAS_SWEPT_AREA
#2103,#2100,HAS_SWEPT_AREA
#2632,#2629,HAS_SWEPT_AREA
#2784,#2781,HAS_SWEPT_AREA
#3008,#3005,HAS_SWEPT_AREA
#3192,#3189,HAS_SWEPT_AREA
#3320,#3317,HAS_SWEPT_AREA
#3451,#3448,HAS_SWEPT_AREA
#3581,#3578,HAS_SWEPT_AREA
#3702,#3699,HAS_SWEPT_AREA
#3789,#3787,HAS_SWEPT_AREA
#3994,#3992,HAS_SWEPT_AREA
#4038,#4036,HAS_SWEPT_AREA
#4082,#4080,HAS_SWEPT_AREA
#4126,#4124,HAS_SWEPT_AREA
#4214,#4212,HAS_SWEPT_AREA
#4259,#4257,HAS_SWEPT_AREA
#4372,#4370,HAS_SWEPT_AREA
#4438,#4436,HAS_SWEPT_AREA
#4503,#4501,HAS_SWEPT_AREA
#4548,#4546,HAS_SWEPT_AREA
#4593,#4591,HAS_SWEPT_AREA
#4638,#4636,HAS_SWEPT_AREA
#4813,#4811,HAS_SWEPT_AREA
#4863,#4861,HAS_SWEPT_AREA
#4913,#4911,HAS_SWEPT_AREA
#4963,#4961,HAS_SWEPT_AREA
#5052,#5050,HAS_SWEPT_AREA
#5101,#5099,HAS_SWEPT_AREA
#5157,#5154,HAS_SWEPT_AREA
#5262,#5259,HAS_SWEPT_AREA
#5310,#5308,HAS_SWEPT_AREA
#5443,#5441,HAS_SWEPT_AREA
#5493,#5491,HAS_SWEPT_AREA
#5543,#5541,HAS_SWEPT_AREA
#5593,#5591,HAS_SWEPT_AREA
#5637,#5635,HAS_SWEPT_AREA
#5682,#5680,HAS_SWEPT_AREA
#5726,#5724,HAS_SWEPT_AREA
#5770,#5768,HAS_SWEPT_AREA
#5854,#5852,HAS_SWEPT_AREA
#5898,#5896,HAS_SWEPT_AREA
#5943,#5941,HAS_SWEPT_AREA
#5987,#5985,HAS_SWEPT_AREA
#6031,#6029,HAS_SWEPT_AREA
#6075,#6073,HAS_SWEPT_AREA
#6127,#6124,HAS_SWEPT_AREA
#6242,#6239,HAS_SWEPT_AREA
#6287,#6285,HAS_SWEPT_AREA
#6299,#6296,HAS_SWEPT_AREA
#6320,#6317,HAS_SWEPT_AREA
#6341,#6338,HAS_SWEPT_AREA
#6359,#6356,HAS_SWEPT_AREA
#6511,#6509,HAS_SWEPT_AREA
#6563,#6561,HAS_SWEPT_AREA
#6584,#6581,HAS_SWEPT_AREA
#6603,#6600,HAS_SWEPT_AREA
#6610,#6607,HAS_SWEPT_AREA
#6737,#6735,HAS_SWEPT_AREA
#6788,#6786,HAS_SWEPT_AREA
#6800,#6797,HAS_SWEPT_AREA
#6818,#6815,HAS_SWEPT_AREA
#6836,#6833,HAS_SWEPT_AREA
#6854,#6851,HAS_SWEPT_AREA
#7005,#7003,HAS_SWEPT_AREA
#7057,#7055,HAS_SWEPT_AREA
#7069,#7066,HAS_SWEPT_AREA
#7087,#7084,HAS_SWEPT_AREA
#7105,#7102,HAS_SWEPT_AREA
#7123,#7120,HAS_SWEPT_AREA
#7274,#7272,HAS_SWEPT_AREA
#7286,#7283,HAS_SWEPT_AREA
#7304,#7301,HAS_SWEPT_AREA
#7322,#7319,HAS_SWEPT_AREA
#7340,#7337,HAS_SWEPT_AREA
#7491,#7489,HAS_SWEPT_AREA
#7503,#7500,HAS_SWEPT_AREA
#7521,#7518,HAS_SWEPT_AREA
#7539,#7536,HAS_SWEPT_AREA
#7560,#7557,HAS_SWEPT_AREA
#7723,#7721,HAS_SWEPT_AREA
#7775,#7773,HAS_SWEPT_AREA
#7827,#7825,HAS_SWEPT_AREA
#7879,#7877,HAS_SWEPT_AREA
#7931,#7929,HAS_SWEPT_AREA
#7983,#7981,HAS_SWEPT_AREA
#8004,#8001,HAS_SWEPT_AREA
#8020,#8017,HAS_SWEPT_AREA
#8027,#8024,HAS_SWEPT_AREA
#8149,#8147,HAS_SWEPT_AREA
#8200,#8198,HAS_SWEPT_AREA
#8221,#8218,HAS_SWEPT_AREA
#8237,#8234,HAS_SWEPT_AREA
#8244,#8241,HAS_SWEPT_AREA
#8366,#8364,HAS_SWEPT_AREA
#8457,#8454,HAS_SWEPT_AREA
#8488,#8485,HAS_SWEPT_AREA
#8516,#8513,HAS_SWEPT_AREA
#8544,#8541,HAS_SWEPT_AREA
#8572,#8569,HAS_SWEPT_AREA
#8600,#8597,HAS_SWEPT_AREA
#8628,#8625,HAS_SWEPT_AREA
#8656,#8653,HAS_SWEPT_AREA
#8684,#8681,HAS_SWEPT_AREA
#8712,#8709,HAS_SWEPT_AREA
#8740,#8737,HAS_SWEPT_AREA
#8768,#8765,HAS_SWEPT_AREA
#8796,#8793,HAS_SWEPT_AREA
#8824,#8821,HAS_SWEPT_AREA
#8852,#8849,HAS_SWEPT_AREA
#8859,#8856,HAS_SWEPT_AREA
#8866,#8863,HAS_SWEPT_AREA
#8873,#8870,HAS_SWEPT_AREA
#8880,#8877,HAS_SWEPT_AREA
#8887,#8884,HAS_SWEPT_AREA
#8894,#8891,HAS_SWEPT_AREA
#8901,#8898,HAS_SWEPT_AREA
#8908,#8905,HAS_SWEPT_AREA
#8915,#8912,HAS_SWEPT_AREA
#8922,#8919,HAS_SWEPT_AREA
#8929,#8926,HAS_SWEPT_AREA
#8936,#8933,HAS_SWEPT_AREA
#8943,#8940,HAS_SWEPT_AREA
#8950,#8947,HAS_SWEPT_AREA
#8957,#8954,HAS_SWEPT_AREA
#8964,#8961,HAS_SWEPT_AREA
#8996,#8993,HAS_SWEPT_AREA
#9014,#9011,HAS_SWEPT_AREA
#9394,#9391,HAS_SWEPT_AREA
#9399,#9396,HAS_SWEPT_AREA
#9404,#9401,HAS_SWEPT_AREA
#9409,#9406,HAS_SWEPT_AREA
#9414,#9411,HAS_SWEPT_AREA
#9419,#9416,HAS_SWEPT_AREA
#9424,#9421,HAS_SWEPT_AREA
#9429,#9426,HAS_SWEPT_AREA
#9434,#9431,HAS_SWEPT_AREA
#9439,#9436,HAS_SWEPT_AREA
#9444,#9441,HAS_SWEPT_AREA
#9449,#9446,HAS_SWEPT_AREA
#9454,#9451,HAS_SWEPT_AREA
#9459,#9456,HAS_SWEPT_AREA
#9464,#9461,HAS_SWEPT_AREA
#9469,#9466,HAS_SWEPT_AREA
#9474,#9471,HAS_SWEPT_AREA
#9479,#9476,HAS_SWEPT_AREA
#9484,#9481,HAS_SWEPT_AREA
#9489,#9486,HAS_SWEPT_AREA
#9494,#9491,HAS_SWEPT_AREA
#9499,#9496,HAS_SWEPT_AREA
#9504,#9501,HAS_SWEPT_AREA
#9509,#9506,HAS_SWEPT_AREA
#9514,#9511,HAS_SWEPT_AREA
#9519,#9516,HAS_SWEPT_AREA
#9524,#9521,HAS_SWEPT_AREA
#9529,#9526,HAS_SWEPT_AREA
#9539,#9536,HAS_SWEPT_AREA
#9546,#9541,HAS_SWEPT_AREA
#9553,#9548,HAS_SWEPT_AREA
#9560,#9555,HAS_SWEPT_AREA
#9567,#9562,HAS_SWEPT_AREA
#9574,#9569,HAS_SWEPT_AREA
#9581,#9576,HAS_SWEPT_AREA
#9588,#9583,HAS_SWEPT_AREA
#9595,#9590,HAS_SWEPT_AREA
