:START_ID,:END_ID,:TYPE
#738,#734,HAS_VERTEX
#738,#735,HAS_VERTEX
#738,#736,HAS_VERTEX
#738,#737,HAS_VERTEX
#745,#741,HAS_VERTEX
#745,#742,HAS_VERTEX
#745,#743,HAS_VERTEX
#745,#744,HAS_VERTEX
#752,#744,HAS_VERTEX
#752,#748,HAS_VERTEX
#752,#749,HAS_VERTEX
#752,#750,HAS_VERTEX
#752,#751,HAS_VERTEX
#752,#743,HAS_VERTEX
#757,#750,HAS_VERTEX
#757,#755,HAS_VERTEX
#757,#756,HAS_VERTEX
#757,#751,HAS_VERTEX
#762,#755,HAS_VERTEX
#762,#760,HAS_VERTEX
#762,#761,HAS_VERTEX
#762,#756,HAS_VERTEX
#769,#760,HAS_VERTEX
#769,#765,HAS_VERTEX
#769,#766,HAS_VERTEX
#769,#767,HAS_VERTEX
#769,#768,HAS_VERTEX
#769,#761,HAS_VERTEX
#773,#767,HAS_VERTEX
#773,#772,HAS_VERTEX
#773,#768,HAS_VERTEX
#780,#772,HAS_VERTEX
#780,#776,HAS_VERTEX
#780,#777,HAS_VERTEX
#780,#778,HAS_VERTEX
#780,#779,HAS_VERTEX
#785,#777,HAS_VERTEX
#785,#776,HAS_VERTEX
#785,#783,HAS_VERTEX
#785,#784,HAS_VERTEX
#788,#784,HAS_VERTEX
#788,#783,HAS_VERTEX
#788,#742,HAS_VERTEX
#788,#741,HAS_VERTEX
#791,#744,HAS_VERTEX
#791,#741,HAS_VERTEX
#791,#784,HAS_VERTEX
#791,#777,HAS_VERTEX
#791,#778,HAS_VERTEX
#791,#779,HAS_VERTEX
#791,#767,HAS_VERTEX
#791,#766,HAS_VERTEX
#791,#765,HAS_VERTEX
#791,#760,HAS_VERTEX
#791,#755,HAS_VERTEX
#791,#750,HAS_VERTEX
#791,#749,HAS_VERTEX
#791,#748,HAS_VERTEX
#794,#742,HAS_VERTEX
#794,#783,HAS_VERTEX
#794,#776,HAS_VERTEX
#794,#772,HAS_VERTEX
#794,#768,HAS_VERTEX
#794,#761,HAS_VERTEX
#794,#756,HAS_VERTEX
#794,#751,HAS_VERTEX
#794,#743,HAS_VERTEX
#800,#796,HAS_VERTEX
#800,#797,HAS_VERTEX
#800,#798,HAS_VERTEX
#800,#799,HAS_VERTEX
#803,#799,HAS_VERTEX
#803,#796,HAS_VERTEX
#803,#737,HAS_VERTEX
#803,#734,HAS_VERTEX
#806,#798,HAS_VERTEX
#806,#735,HAS_VERTEX
#806,#734,HAS_VERTEX
#806,#799,HAS_VERTEX
#809,#797,HAS_VERTEX
#809,#736,HAS_VERTEX
#809,#735,HAS_VERTEX
#809,#798,HAS_VERTEX
#812,#796,HAS_VERTEX
#812,#797,HAS_VERTEX
#812,#736,HAS_VERTEX
#812,#737,HAS_VERTEX
#2331,#2327,HAS_VERTEX
#2331,#2328,HAS_VERTEX
#2331,#2329,HAS_VERTEX
#2331,#2330,HAS_VERTEX
#2337,#2334,HAS_VERTEX
#2337,#2335,HAS_VERTEX
#2337,#2336,HAS_VERTEX
#2344,#2335,HAS_VERTEX
#2344,#2340,HAS_VERTEX
#2344,#2341,HAS_VERTEX
#2344,#2342,HAS_VERTEX
#2344,#2343,HAS_VERTEX
#2349,#2341,HAS_VERTEX
