:START_ID,:END_ID,:TYPE
#6426,#6413,IS_TYPE_OF
#6531,#6413,IS_TYPE_OF
#6652,#6639,IS_TYPE_OF
#6757,#6639,IS_TYPE_OF
#6921,#6908,IS_TYPE_OF
#7025,#6908,IS_TYPE_OF
#22396,#6908,IS_TYPE_OF
#22448,#6908,IS_TYPE_OF
#7190,#7177,IS_TYPE_OF
#7795,#7177,IS_TYPE_OF
#21980,#7177,IS_TYPE_OF
#22188,#7177,IS_TYPE_OF
#7407,#7394,IS_TYPE_OF
#7743,#7394,IS_TYPE_OF
#7847,#7394,IS_TYPE_OF
#7951,#7394,IS_TYPE_OF
#22032,#7394,IS_TYPE_OF
#22084,#7394,IS_TYPE_OF
#22240,#7394,IS_TYPE_OF
#22344,#7394,IS_TYPE_OF
#7639,#7626,IS_TYPE_OF
#7899,#7626,IS_TYPE_OF
#22136,#7626,IS_TYPE_OF
#22292,#7626,IS_TYPE_OF
#8066,#8053,IS_TYPE_OF
#8169,#8053,IS_TYPE_OF
#8283,#8270,IS_TYPE_OF
#8386,#8270,IS_TYPE_OF
#16064,#8270,IS_TYPE_OF
#16115,#8270,IS_TYPE_OF
#12574,#12563,IS_TYPE_OF
#12976,#12965,IS_TYPE_OF
#13331,#13320,IS_TYPE_OF
#13685,#13674,IS_TYPE_OF
#14040,#14029,IS_TYPE_OF
#14394,#14383,IS_TYPE_OF
#14749,#14738,IS_TYPE_OF
#15103,#15092,IS_TYPE_OF
#15463,#15452,IS_TYPE_OF
#16149,#15452,IS_TYPE_OF
#16175,#15452,IS_TYPE_OF
#16485,#15452,IS_TYPE_OF
#16563,#15452,IS_TYPE_OF
#16589,#15452,IS_TYPE_OF
#16615,#15452,IS_TYPE_OF
#16641,#15452,IS_TYPE_OF
#16693,#15452,IS_TYPE_OF
#16719,#15452,IS_TYPE_OF
#16914,#15452,IS_TYPE_OF
#16971,#15452,IS_TYPE_OF
#16997,#15452,IS_TYPE_OF
#17023,#15452,IS_TYPE_OF
#15856,#15845,IS_TYPE_OF
#16667,#15845,IS_TYPE_OF
#15962,#15949,IS_TYPE_OF
#16013,#15949,IS_TYPE_OF
#16261,#16247,IS_TYPE_OF
#16411,#16397,IS_TYPE_OF
#16884,#16397,IS_TYPE_OF
#16531,#16520,IS_TYPE_OF
#16940,#16520,IS_TYPE_OF
#16802,#16788,IS_TYPE_OF
#17341,#17327,IS_TYPE_OF
#17409,#17327,IS_TYPE_OF
#17786,#17327,IS_TYPE_OF
#17815,#17327,IS_TYPE_OF
#17532,#17518,IS_TYPE_OF
#17602,#17518,IS_TYPE_OF
#17844,#17518,IS_TYPE_OF
#17873,#17518,IS_TYPE_OF
#36497,#17518,IS_TYPE_OF
#36526,#17518,IS_TYPE_OF
#36555,#17518,IS_TYPE_OF
#36584,#17518,IS_TYPE_OF
#17716,#17702,IS_TYPE_OF
#17902,#17702,IS_TYPE_OF
#19275,#19261,IS_TYPE_OF
#20755,#19261,IS_TYPE_OF
#20657,#20643,IS_TYPE_OF
#20726,#20643,IS_TYPE_OF
#21821,#21808,IS_TYPE_OF
#21929,#21808,IS_TYPE_OF
#23162,#23148,IS_TYPE_OF
#23251,#23148,IS_TYPE_OF
#26941,#26927,IS_TYPE_OF
#31313,#26927,IS_TYPE_OF
#29098,#29084,IS_TYPE_OF
#29127,#29084,IS_TYPE_OF
#31342,#29084,IS_TYPE_OF
#31371,#29084,IS_TYPE_OF
#31241,#31227,IS_TYPE_OF
#31400,#31227,IS_TYPE_OF
#35318,#35305,IS_TYPE_OF
#35413,#35305,IS_TYPE_OF
#35783,#35772,IS_TYPE_OF
#35854,#35772,IS_TYPE_OF
#36125,#36114,IS_TYPE_OF
#36151,#36114,IS_TYPE_OF
#36423,#36412,IS_TYPE_OF
