:START_ID,:END_ID,:TYPE
#64,#59,STYLES
#209,#207,STYLES
#352,#350,STYLES
#511,#509,STYLES
#1056,#1054,STYLES
#1215,#1213,STYLES
#1439,#1437,STYLES
#1624,#1622,STYLES
#1779,#1777,STYLES
#1925,#1923,STYLES
#2105,#2103,STYLES
#2634,#2632,STYLES
#2786,#2784,STYLES
#3010,#3008,STYLES
#3194,#3192,STYLES
#3322,#3320,STYLES
#3453,#3451,STYLES
#3583,#3581,STYLES
#3704,#3702,STYLES
#3794,#3789,STYLES
#3996,#3994,STYLES
#4040,#4038,STYLES
#4084,#4082,STYLES
#4128,#4126,STYLES
#4216,#4214,STYLES
#4261,#4259,STYLES
#4374,#4372,STYLES
#4440,#4438,STYLES
#4505,#4503,STYLES
#4550,#4548,STYLES
#4595,#4593,STYLES
#4640,#4638,STYLES
#4815,#4813,STYLES
#4865,#4863,STYLES
#4915,#4913,STYLES
#4965,#4963,STYLES
#5054,#5052,STYLES
#5103,#5101,STYLES
#5162,#5157,STYLES
#5264,#5262,STYLES
#5312,#5310,STYLES
#5445,#5443,STYLES
#5495,#5493,STYLES
#5545,#5543,STYLES
#5595,#5593,STYLES
#5639,#5637,STYLES
#5684,#5682,STYLES
#5728,#5726,STYLES
#5772,#5770,STYLES
#5856,#5854,STYLES
#5900,#5898,STYLES
#5945,#5943,STYLES
#5989,#5987,STYLES
#6033,#6031,STYLES
#6077,#6075,STYLES
#6129,#6127,STYLES
#6244,#6242,STYLES
#6304,#6299,STYLES
#6325,#6320,STYLES
#6343,#6341,STYLES
#6361,#6359,STYLES
#6589,#6584,STYLES
#6605,#6603,STYLES
#6615,#6610,STYLES
#6802,#6800,STYLES
#6820,#6818,STYLES
#6838,#6836,STYLES
#6856,#6854,STYLES
#7071,#7069,STYLES
#7089,#7087,STYLES
#7107,#7105,STYLES
#7125,#7123,STYLES
#7288,#7286,STYLES
#7306,#7304,STYLES
#7324,#7322,STYLES
#7342,#7340,STYLES
#7505,#7503,STYLES
#7523,#7521,STYLES
#7544,#7539,STYLES
#7562,#7560,STYLES
#8006,#8004,STYLES
#8022,#8020,STYLES
#8029,#8027,STYLES
#8223,#8221,STYLES
#8239,#8237,STYLES
#8246,#8244,STYLES
#8462,#8457,STYLES
#8490,#8488,STYLES
#8518,#8516,STYLES
#8546,#8544,STYLES
#8574,#8572,STYLES
#8602,#8600,STYLES
#8630,#8628,STYLES
#8658,#8656,STYLES
#8686,#8684,STYLES
#8714,#8712,STYLES
#8742,#8740,STYLES
#8770,#8768,STYLES
#8798,#8796,STYLES
#8826,#8824,STYLES
#8854,#8852,STYLES
#8861,#8859,STYLES
#8868,#8866,STYLES
#8875,#8873,STYLES
#8882,#8880,STYLES
#8889,#8887,STYLES
#8896,#8894,STYLES
#8903,#8901,STYLES
#8910,#8908,STYLES
#8917,#8915,STYLES
#8924,#8922,STYLES
