:START_ID,:END_ID,:TYPE
#9815,#9814,USES_LOOP
#9820,#9819,USES_LOOP
#9825,#9824,USES_LOOP
#9828,#9827,USES_LOOP
#9831,#9830,USES_LOOP
#9834,#9833,USES_LOOP
#9842,#9841,USES_LOOP
#9847,#9846,USES_LOOP
#9852,#9851,USES_LOOP
#9855,#9854,USES_LOOP
#9858,#9857,USES_LOOP
#9861,#9860,USES_LOOP
#9869,#9868,USES_LOOP
#9874,#9873,USES_LOOP
#9879,#9878,USES_LOOP
#9882,#9881,USES_LOOP
#9885,#9884,USES_LOOP
#9888,#9887,USES_LOOP
#9896,#9895,USES_LOOP
#9901,#9900,USES_LOOP
#9906,#9905,USES_LOOP
#9909,#9908,USES_LOOP
#9912,#9911,USES_LOOP
#9915,#9914,USES_LOOP
#9923,#9922,USES_LOOP
#9928,#9927,USES_LOOP
#9933,#9932,USES_LOOP
#9936,#9935,USES_LOOP
#9939,#9938,USES_LOOP
#9942,#9941,USES_LOOP
#9950,#9949,USES_LOOP
#9955,#9954,USES_LOOP
#9960,#9959,USES_LOOP
#9963,#9962,USES_LOOP
#9966,#9965,USES_LOOP
#9969,#9968,USES_LOOP
#9977,#9976,USES_LOOP
#9982,#9981,USES_LOOP
#9987,#9986,USES_LOOP
#9990,#9989,USES_LOOP
#9993,#9992,USES_LOOP
#9996,#9995,USES_LOOP
#10004,#10003,USES_LOOP
#10009,#10008,USES_LOOP
#10014,#10013,USES_LOOP
#10017,#10016,USES_LOOP
#10020,#10019,USES_LOOP
#10023,#10022,USES_LOOP
#10031,#10030,USES_LOOP
#10036,#10035,USES_LOOP
#10041,#10040,USES_LOOP
#10044,#10043,USES_LOOP
#10047,#10046,USES_LOOP
#10050,#10049,USES_LOOP
#10058,#10057,USES_LOOP
#10063,#10062,USES_LOOP
#10068,#10067,USES_LOOP
#10071,#10070,USES_LOOP
#10074,#10073,USES_LOOP
#10077,#10076,USES_LOOP
#10085,#10084,USES_LOOP
#10090,#10089,USES_LOOP
#10095,#10094,USES_LOOP
#10098,#10097,USES_LOOP
#10101,#10100,USES_LOOP
#10104,#10103,USES_LOOP
#10112,#10111,USES_LOOP
#10117,#10116,USES_LOOP
#10122,#10121,USES_LOOP
#10125,#10124,USES_LOOP
#10128,#10127,USES_LOOP
#10131,#10130,USES_LOOP
#10139,#10138,USES_LOOP
#10144,#10143,USES_LOOP
#10149,#10148,USES_LOOP
#10152,#10151,USES_LOOP
#10155,#10154,USES_LOOP
#10158,#10157,USES_LOOP
#10166,#10165,USES_LOOP
#10171,#10170,USES_LOOP
#10176,#10175,USES_LOOP
#10179,#10178,USES_LOOP
#10182,#10181,USES_LOOP
