:START_ID,:END_ID,:TYPE
#3892,#3876,USES_MATERIAL
#3901,#3893,USES_MATERIAL
#3916,#3902,USES_MATERIAL
#3931,#3917,USES_MATERIAL
#3940,#3932,USES_MATERIAL
#3981,#3941,USES_MATERIAL
#4199,#3941,USES_MATERIAL
#4200,#3932,USES_MATERIAL
#4201,#3941,USES_MATERIAL
#4353,#3941,USES_MATERIAL
#4354,#3932,USES_MATERIAL
#4355,#3917,USES_MATERIAL
#4356,#3893,USES_MATERIAL
#4357,#3917,USES_MATERIAL
#4358,#3932,USES_MATERIAL
#4359,#3941,USES_MATERIAL
#4800,#4717,USES_MATERIAL
#5039,#4717,USES_MATERIAL
#5243,#5235,USES_MATERIAL
#5839,#3941,USES_MATERIAL
#5840,#3932,USES_MATERIAL
#5841,#3941,USES_MATERIAL
#6212,#6200,USES_MATERIAL
#6221,#6213,USES_MATERIAL
#20870,#20861,USES_MATERIAL
#20879,#20871,USES_MATERIAL
#21278,#21264,USES_MATERIAL
#21319,#21279,USES_MATERIAL
#22624,#22616,USES_MATERIAL
#22633,#22625,USES_MATERIAL
#22642,#22634,USES_MATERIAL
#22643,#3902,USES_MATERIAL
#22644,#6200,USES_MATERIAL
#22645,#6213,USES_MATERIAL
#23672,#3932,USES_MATERIAL
#23673,#3941,USES_MATERIAL
#24661,#3932,USES_MATERIAL
#24662,#3941,USES_MATERIAL
#37847,#4717,USES_MATERIAL
#37951,#3932,USES_MATERIAL
#37952,#3941,USES_MATERIAL
