:START_ID,:END_ID,:TYPE
#45,#44,HAS_LOCATION
#58,#57,HAS_LOCATION
#59,#56,HAS_SWEPT_AREA
#59,#58,HAS_POSITION
#64,#59,STYLES
#64,#63,HAS_STYLES
#65,#59,HAS_ITEM
#69,#68,CONTAINS_QUANTITY
#76,#71,HAS_LOCATION
#76,#10,HAS_AXIS
#87,#80,HAS_LOCATION
#87,#10,HAS_AXIS
#87,#5,HAS_REF_DIRECTION
#110,#109,HAS_LOCATION
#156,#155,HAS_LOCATION
#163,#159,CONTAINS_PROPERTY
#163,#160,CONTAINS_PROPERTY
#163,#161,CONTAINS_PROPERTY
#163,#162,CONTAINS_PROPERTY
#190,#165,CONTAINS_PROPERTY
#190,#166,CONTAINS_PROPERTY
#190,#175,CONTAINS_PROPERTY
#192,#167,CONTAINS_PROPERTY
#192,#168,CONTAINS_PROPERTY
#192,#169,CONTAINS_PROPERTY
#192,#176,CONTAINS_PROPERTY
#194,#170,CONTAINS_PROPERTY
#194,#171,CONTAINS_PROPERTY
#194,#172,CONTAINS_PROPERTY
#194,#173,CONTAINS_PROPERTY
#196,#174,CONTAINS_PROPERTY
#198,#177,CONTAINS_PROPERTY
#198,#178,CONTAINS_PROPERTY
#198,#179,CONTAINS_PROPERTY
#198,#180,CONTAINS_PROPERTY
#198,#181,CONTAINS_PROPERTY
#198,#182,CONTAINS_PROPERTY
#198,#183,CONTAINS_PROPERTY
#198,#184,CONTAINS_PROPERTY
#198,#185,CONTAINS_PROPERTY
#198,#186,CONTAINS_PROPERTY
#198,#187,CONTAINS_PROPERTY
#198,#188,CONTAINS_PROPERTY
#198,#189,CONTAINS_PROPERTY
#206,#205,HAS_LOCATION
#207,#204,HAS_SWEPT_AREA
#207,#206,HAS_POSITION
#209,#207,STYLES
#209,#208,HAS_STYLES
#210,#207,HAS_ITEM
#214,#213,CONTAINS_QUANTITY
#225,#216,HAS_LOCATION
#225,#5,HAS_REF_DIRECTION
#238,#229,HAS_LOCATION
#238,#10,HAS_AXIS
#248,#242,HAS_LOCATION
#248,#10,HAS_AXIS
#264,#263,HAS_LOCATION
#308,#304,CONTAINS_PROPERTY
#308,#305,CONTAINS_PROPERTY
#308,#306,CONTAINS_PROPERTY
#308,#307,CONTAINS_PROPERTY
#334,#310,CONTAINS_PROPERTY
#334,#311,CONTAINS_PROPERTY
#334,#320,CONTAINS_PROPERTY
#336,#312,CONTAINS_PROPERTY
#336,#313,CONTAINS_PROPERTY
#336,#314,CONTAINS_PROPERTY
#336,#176,CONTAINS_PROPERTY
#338,#315,CONTAINS_PROPERTY
#338,#316,CONTAINS_PROPERTY
#338,#317,CONTAINS_PROPERTY
#338,#318,CONTAINS_PROPERTY
#340,#319,CONTAINS_PROPERTY
#342,#321,CONTAINS_PROPERTY
#342,#322,CONTAINS_PROPERTY
#342,#323,CONTAINS_PROPERTY
#342,#324,CONTAINS_PROPERTY
#342,#325,CONTAINS_PROPERTY
